band,top50_E_total,top50_E_ipsi,top50_E_contra,top50_n_ipsi,top50_n_contra
13_30,33.688787847743995,6.05084440938165,25.506000365261233,23,24
150_250,33.65249229095489,10.221038121319468,22.375107825093195,23,24
250_500,33.33044684000733,11.613315848982134,21.354228629282773,23,24
80_150,34.167668512276286,9.009420592038477,22.59381836950013,23,24
80_250,34.14142325486553,9.175186829137632,22.750605336199722,23,24
