roi_id,roi_name,hemi,network,ipsi_contra
111,7Networks_LH_SomMot_44,LH,SomMot,ipsi
112,7Networks_LH_SomMot_45,LH,SomMot,ipsi
113,7Networks_LH_SomMot_46,LH,SomMot,ipsi
114,7Networks_LH_SomMot_47,LH,SomMot,ipsi
115,7Networks_LH_SomMot_48,LH,SomMot,ipsi
116,7Networks_LH_SomMot_49,LH,SomMot,ipsi
117,7Networks_LH_SomMot_50,LH,SomMot,ipsi
118,7Networks_LH_SomMot_51,LH,SomMot,ipsi
119,7Networks_LH_SomMot_52,LH,SomMot,ipsi
120,7Networks_LH_SomMot_53,LH,SomMot,ipsi
121,7Networks_LH_SomMot_54,LH,SomMot,ipsi
122,7Networks_LH_SomMot_55,LH,SomMot,ipsi
123,7Networks_LH_SomMot_56,LH,SomMot,ipsi
124,7Networks_LH_SomMot_57,LH,SomMot,ipsi
125,7Networks_LH_SomMot_58,LH,SomMot,ipsi
126,7Networks_LH_SomMot_59,LH,SomMot,ipsi
127,7Networks_LH_SomMot_60,LH,SomMot,ipsi
128,7Networks_LH_SomMot_61,LH,SomMot,ipsi
129,7Networks_LH_SomMot_62,LH,SomMot,ipsi
130,7Networks_LH_SomMot_63,LH,SomMot,ipsi
131,7Networks_LH_SomMot_64,LH,SomMot,ipsi
132,7Networks_LH_SomMot_65,LH,SomMot,ipsi
133,7Networks_LH_SomMot_66,LH,SomMot,ipsi
134,7Networks_LH_SomMot_67,LH,SomMot,ipsi
135,7Networks_LH_SomMot_68,LH,SomMot,ipsi
136,7Networks_LH_SomMot_69,LH,SomMot,ipsi
137,7Networks_LH_SomMot_70,LH,SomMot,ipsi
138,7Networks_LH_SomMot_71,LH,SomMot,ipsi
139,7Networks_LH_SomMot_72,LH,SomMot,ipsi
140,7Networks_LH_SomMot_73,LH,SomMot,ipsi
141,7Networks_LH_SomMot_74,LH,SomMot,ipsi
142,7Networks_LH_SomMot_75,LH,SomMot,ipsi
143,7Networks_LH_DorsAttn_Post_1,LH,DorsAttn,ipsi
144,7Networks_LH_DorsAttn_Post_2,LH,DorsAttn,ipsi
145,7Networks_LH_DorsAttn_Post_3,LH,DorsAttn,ipsi
146,7Networks_LH_DorsAttn_Post_4,LH,DorsAttn,ipsi
147,7Networks_LH_DorsAttn_Post_5,LH,DorsAttn,ipsi
148,7Networks_LH_DorsAttn_Post_6,LH,DorsAttn,ipsi
149,7Networks_LH_DorsAttn_Post_7,LH,DorsAttn,ipsi
150,7Networks_LH_DorsAttn_Post_8,LH,DorsAttn,ipsi
151,7Networks_LH_DorsAttn_Post_9,LH,DorsAttn,ipsi
152,7Networks_LH_DorsAttn_Post_10,LH,DorsAttn,ipsi
153,7Networks_LH_DorsAttn_Post_11,LH,DorsAttn,ipsi
154,7Networks_LH_DorsAttn_Post_12,LH,DorsAttn,ipsi
155,7Networks_LH_DorsAttn_Post_13,LH,DorsAttn,ipsi
156,7Networks_LH_DorsAttn_Post_14,LH,DorsAttn,ipsi
157,7Networks_LH_DorsAttn_Post_15,LH,DorsAttn,ipsi
158,7Networks_LH_DorsAttn_Post_16,LH,DorsAttn,ipsi
159,7Networks_LH_DorsAttn_Post_17,LH,DorsAttn,ipsi
160,7Networks_LH_DorsAttn_Post_18,LH,DorsAttn,ipsi
161,7Networks_LH_DorsAttn_Post_19,LH,DorsAttn,ipsi
162,7Networks_LH_DorsAttn_Post_20,LH,DorsAttn,ipsi
163,7Networks_LH_DorsAttn_Post_21,LH,DorsAttn,ipsi
164,7Networks_LH_DorsAttn_Post_22,LH,DorsAttn,ipsi
165,7Networks_LH_DorsAttn_Post_23,LH,DorsAttn,ipsi
166,7Networks_LH_DorsAttn_Post_24,LH,DorsAttn,ipsi
167,7Networks_LH_DorsAttn_Post_25,LH,DorsAttn,ipsi
168,7Networks_LH_DorsAttn_Post_26,LH,DorsAttn,ipsi
169,7Networks_LH_DorsAttn_Post_27,LH,DorsAttn,ipsi
170,7Networks_LH_DorsAttn_Post_28,LH,DorsAttn,ipsi
171,7Networks_LH_DorsAttn_Post_29,LH,DorsAttn,ipsi
172,7Networks_LH_DorsAttn_Post_30,LH,DorsAttn,ipsi
173,7Networks_LH_DorsAttn_Post_31,LH,DorsAttn,ipsi
174,7Networks_LH_DorsAttn_Post_32,LH,DorsAttn,ipsi
175,7Networks_LH_DorsAttn_Post_33,LH,DorsAttn,ipsi
176,7Networks_LH_DorsAttn_Post_34,LH,DorsAttn,ipsi
177,7Networks_LH_DorsAttn_Post_35,LH,DorsAttn,ipsi
178,7Networks_LH_DorsAttn_Post_36,LH,DorsAttn,ipsi
179,7Networks_LH_DorsAttn_Post_37,LH,DorsAttn,ipsi
180,7Networks_LH_DorsAttn_Post_38,LH,DorsAttn,ipsi
181,7Networks_LH_DorsAttn_FEF_1,LH,DorsAttn,ipsi
182,7Networks_LH_DorsAttn_FEF_2,LH,DorsAttn,ipsi
183,7Networks_LH_DorsAttn_FEF_3,LH,DorsAttn,ipsi
184,7Networks_LH_DorsAttn_FEF_4,LH,DorsAttn,ipsi
185,7Networks_LH_DorsAttn_FEF_5,LH,DorsAttn,ipsi
186,7Networks_LH_DorsAttn_FEF_6,LH,DorsAttn,ipsi
187,7Networks_LH_DorsAttn_FEF_7,LH,DorsAttn,ipsi
188,7Networks_LH_DorsAttn_PrCv_1,LH,DorsAttn,ipsi
189,7Networks_LH_DorsAttn_PrCv_2,LH,DorsAttn,ipsi
190,7Networks_LH_SalVentAttn_ParOper_1,LH,SalVentAttn,ipsi
191,7Networks_LH_SalVentAttn_ParOper_2,LH,SalVentAttn,ipsi
192,7Networks_LH_SalVentAttn_ParOper_3,LH,SalVentAttn,ipsi
193,7Networks_LH_SalVentAttn_ParOper_4,LH,SalVentAttn,ipsi
194,7Networks_LH_SalVentAttn_ParOper_5,LH,SalVentAttn,ipsi
195,7Networks_LH_SalVentAttn_ParOper_6,LH,SalVentAttn,ipsi
196,7Networks_LH_SalVentAttn_ParOper_7,LH,SalVentAttn,ipsi
197,7Networks_LH_SalVentAttn_ParOper_8,LH,SalVentAttn,ipsi
198,7Networks_LH_SalVentAttn_TempOcc_1,LH,SalVentAttn,ipsi
199,7Networks_LH_SalVentAttn_FrOperIns_1,LH,SalVentAttn,ipsi
200,7Networks_LH_SalVentAttn_FrOperIns_2,LH,SalVentAttn,ipsi
201,7Networks_LH_SalVentAttn_FrOperIns_3,LH,SalVentAttn,ipsi
202,7Networks_LH_SalVentAttn_FrOperIns_4,LH,SalVentAttn,ipsi
203,7Networks_LH_SalVentAttn_FrOperIns_5,LH,SalVentAttn,ipsi
204,7Networks_LH_SalVentAttn_FrOperIns_6,LH,SalVentAttn,ipsi
205,7Networks_LH_SalVentAttn_FrOperIns_7,LH,SalVentAttn,ipsi
206,7Networks_LH_SalVentAttn_FrOperIns_8,LH,SalVentAttn,ipsi
207,7Networks_LH_SalVentAttn_FrOperIns_9,LH,SalVentAttn,ipsi
208,7Networks_LH_SalVentAttn_FrOperIns_10,LH,SalVentAttn,ipsi
209,7Networks_LH_SalVentAttn_FrOperIns_11,LH,SalVentAttn,ipsi
210,7Networks_LH_SalVentAttn_FrOperIns_12,LH,SalVentAttn,ipsi
211,7Networks_LH_SalVentAttn_PFCl_1,LH,SalVentAttn,ipsi
212,7Networks_LH_SalVentAttn_PFCl_2,LH,SalVentAttn,ipsi
213,7Networks_LH_SalVentAttn_Med_1,LH,SalVentAttn,ipsi
214,7Networks_LH_SalVentAttn_Med_2,LH,SalVentAttn,ipsi
215,7Networks_LH_SalVentAttn_Med_3,LH,SalVentAttn,ipsi
216,7Networks_LH_SalVentAttn_Med_4,LH,SalVentAttn,ipsi
217,7Networks_LH_SalVentAttn_Med_5,LH,SalVentAttn,ipsi
218,7Networks_LH_SalVentAttn_Med_6,LH,SalVentAttn,ipsi
219,7Networks_LH_SalVentAttn_Med_7,LH,SalVentAttn,ipsi
220,7Networks_LH_SalVentAttn_Med_8,LH,SalVentAttn,ipsi
221,7Networks_LH_SalVentAttn_Med_9,LH,SalVentAttn,ipsi
222,7Networks_LH_SalVentAttn_Med_10,LH,SalVentAttn,ipsi
223,7Networks_LH_SalVentAttn_Med_11,LH,SalVentAttn,ipsi
224,7Networks_LH_SalVentAttn_Med_12,LH,SalVentAttn,ipsi
225,7Networks_LH_SalVentAttn_Med_13,LH,SalVentAttn,ipsi
226,7Networks_LH_SalVentAttn_Med_14,LH,SalVentAttn,ipsi
227,7Networks_LH_SalVentAttn_Med_15,LH,SalVentAttn,ipsi
228,7Networks_LH_SalVentAttn_Med_16,LH,SalVentAttn,ipsi
229,7Networks_LH_SalVentAttn_Med_17,LH,SalVentAttn,ipsi
230,7Networks_LH_Limbic_OFC_1,LH,Limbic,ipsi
231,7Networks_LH_Limbic_OFC_2,LH,Limbic,ipsi
232,7Networks_LH_Limbic_OFC_3,LH,Limbic,ipsi
233,7Networks_LH_Limbic_OFC_4,LH,Limbic,ipsi
234,7Networks_LH_Limbic_OFC_5,LH,Limbic,ipsi
235,7Networks_LH_Limbic_OFC_6,LH,Limbic,ipsi
236,7Networks_LH_Limbic_OFC_7,LH,Limbic,ipsi
237,7Networks_LH_Limbic_OFC_8,LH,Limbic,ipsi
238,7Networks_LH_Limbic_OFC_9,LH,Limbic,ipsi
239,7Networks_LH_Limbic_OFC_10,LH,Limbic,ipsi
240,7Networks_LH_Limbic_OFC_11,LH,Limbic,ipsi
241,7Networks_LH_Limbic_OFC_12,LH,Limbic,ipsi
242,7Networks_LH_Limbic_TempPole_1,LH,Limbic,ipsi
243,7Networks_LH_Limbic_TempPole_2,LH,Limbic,ipsi
244,7Networks_LH_Limbic_TempPole_3,LH,Limbic,ipsi
245,7Networks_LH_Limbic_TempPole_4,LH,Limbic,ipsi
246,7Networks_LH_Limbic_TempPole_5,LH,Limbic,ipsi
247,7Networks_LH_Limbic_TempPole_6,LH,Limbic,ipsi
248,7Networks_LH_Limbic_TempPole_7,LH,Limbic,ipsi
249,7Networks_LH_Limbic_TempPole_8,LH,Limbic,ipsi
250,7Networks_LH_Limbic_TempPole_9,LH,Limbic,ipsi
251,7Networks_LH_Limbic_TempPole_10,LH,Limbic,ipsi
252,7Networks_LH_Limbic_TempPole_11,LH,Limbic,ipsi
253,7Networks_LH_Limbic_TempPole_12,LH,Limbic,ipsi
254,7Networks_LH_Limbic_TempPole_13,LH,Limbic,ipsi
255,7Networks_LH_Limbic_TempPole_14,LH,Limbic,ipsi
256,7Networks_LH_Limbic_TempPole_15,LH,Limbic,ipsi
257,7Networks_LH_Limbic_TempPole_16,LH,Limbic,ipsi
258,7Networks_LH_Limbic_TempPole_17,LH,Limbic,ipsi
259,7Networks_LH_Cont_Par_1,LH,Cont,ipsi
260,7Networks_LH_Cont_Par_2,LH,Cont,ipsi
261,7Networks_LH_Cont_Par_3,LH,Cont,ipsi
262,7Networks_LH_Cont_Par_4,LH,Cont,ipsi
263,7Networks_LH_Cont_Par_5,LH,Cont,ipsi
264,7Networks_LH_Cont_Par_6,LH,Cont,ipsi
265,7Networks_LH_Cont_Par_7,LH,Cont,ipsi
266,7Networks_LH_Cont_Par_8,LH,Cont,ipsi
267,7Networks_LH_Cont_Par_9,LH,Cont,ipsi
268,7Networks_LH_Cont_Par_10,LH,Cont,ipsi
269,7Networks_LH_Cont_Par_11,LH,Cont,ipsi
270,7Networks_LH_Cont_Par_12,LH,Cont,ipsi
271,7Networks_LH_Cont_Temp_1,LH,Cont,ipsi
272,7Networks_LH_Cont_Temp_2,LH,Cont,ipsi
273,7Networks_LH_Cont_Temp_3,LH,Cont,ipsi
274,7Networks_LH_Cont_PFCd_1,LH,Cont,ipsi
275,7Networks_LH_Cont_PFCd_2,LH,Cont,ipsi
276,7Networks_LH_Cont_PFCl_1,LH,Cont,ipsi
277,7Networks_LH_Cont_PFCl_2,LH,Cont,ipsi
278,7Networks_LH_Cont_PFCl_3,LH,Cont,ipsi
279,7Networks_LH_Cont_PFCl_4,LH,Cont,ipsi
280,7Networks_LH_Cont_PFCl_5,LH,Cont,ipsi
281,7Networks_LH_Cont_PFCl_6,LH,Cont,ipsi
282,7Networks_LH_Cont_PFCl_7,LH,Cont,ipsi
283,7Networks_LH_Cont_PFCl_8,LH,Cont,ipsi
284,7Networks_LH_Cont_PFCl_9,LH,Cont,ipsi
285,7Networks_LH_Cont_PFCl_10,LH,Cont,ipsi
286,7Networks_LH_Cont_PFCl_11,LH,Cont,ipsi
287,7Networks_LH_Cont_PFCl_12,LH,Cont,ipsi
288,7Networks_LH_Cont_PFCl_13,LH,Cont,ipsi
289,7Networks_LH_Cont_PFCl_14,LH,Cont,ipsi
290,7Networks_LH_Cont_PFCl_15,LH,Cont,ipsi
291,7Networks_LH_Cont_OFC_1,LH,Cont,ipsi
292,7Networks_LH_Cont_PFCv_1,LH,Cont,ipsi
293,7Networks_LH_Cont_PFCv_2,LH,Cont,ipsi
294,7Networks_LH_Cont_pCun_1,LH,Cont,ipsi
295,7Networks_LH_Cont_pCun_2,LH,Cont,ipsi
296,7Networks_LH_Cont_pCun_3,LH,Cont,ipsi
297,7Networks_LH_Cont_Cing_1,LH,Cont,ipsi
298,7Networks_LH_Cont_Cing_2,LH,Cont,ipsi
299,7Networks_LH_Cont_Cing_3,LH,Cont,ipsi
300,7Networks_LH_Cont_Cing_4,LH,Cont,ipsi
301,7Networks_LH_Cont_Cing_5,LH,Cont,ipsi
302,7Networks_LH_Cont_PFCmp_1,LH,Cont,ipsi
303,7Networks_LH_Cont_PFCmp_2,LH,Cont,ipsi
304,7Networks_LH_Default_Temp_1,LH,Default,ipsi
305,7Networks_LH_Default_Temp_2,LH,Default,ipsi
306,7Networks_LH_Default_Temp_3,LH,Default,ipsi
307,7Networks_LH_Default_Temp_4,LH,Default,ipsi
308,7Networks_LH_Default_Temp_5,LH,Default,ipsi
309,7Networks_LH_Default_Temp_6,LH,Default,ipsi
310,7Networks_LH_Default_Temp_7,LH,Default,ipsi
311,7Networks_LH_Default_Temp_8,LH,Default,ipsi
312,7Networks_LH_Default_Temp_9,LH,Default,ipsi
313,7Networks_LH_Default_Temp_10,LH,Default,ipsi
314,7Networks_LH_Default_Temp_11,LH,Default,ipsi
315,7Networks_LH_Default_Temp_12,LH,Default,ipsi
316,7Networks_LH_Default_Temp_13,LH,Default,ipsi
317,7Networks_LH_Default_Temp_14,LH,Default,ipsi
318,7Networks_LH_Default_Temp_15,LH,Default,ipsi
319,7Networks_LH_Default_Temp_16,LH,Default,ipsi
320,7Networks_LH_Default_Par_1,LH,Default,ipsi
321,7Networks_LH_Default_Par_2,LH,Default,ipsi
322,7Networks_LH_Default_Par_3,LH,Default,ipsi
323,7Networks_LH_Default_Par_4,LH,Default,ipsi
324,7Networks_LH_Default_Par_5,LH,Default,ipsi
325,7Networks_LH_Default_Par_6,LH,Default,ipsi
326,7Networks_LH_Default_Par_7,LH,Default,ipsi
327,7Networks_LH_Default_Par_8,LH,Default,ipsi
328,7Networks_LH_Default_Par_9,LH,Default,ipsi
329,7Networks_LH_Default_Par_10,LH,Default,ipsi
330,7Networks_LH_Default_Par_11,LH,Default,ipsi
331,7Networks_LH_Default_Par_12,LH,Default,ipsi
332,7Networks_LH_Default_Par_13,LH,Default,ipsi
333,7Networks_LH_Default_PFC_1,LH,Default,ipsi
334,7Networks_LH_Default_PFC_2,LH,Default,ipsi
335,7Networks_LH_Default_PFC_3,LH,Default,ipsi
336,7Networks_LH_Default_PFC_4,LH,Default,ipsi
337,7Networks_LH_Default_PFC_5,LH,Default,ipsi
338,7Networks_LH_Default_PFC_6,LH,Default,ipsi
339,7Networks_LH_Default_PFC_7,LH,Default,ipsi
340,7Networks_LH_Default_PFC_8,LH,Default,ipsi
341,7Networks_LH_Default_PFC_9,LH,Default,ipsi
342,7Networks_LH_Default_PFC_10,LH,Default,ipsi
343,7Networks_LH_Default_PFC_11,LH,Default,ipsi
344,7Networks_LH_Default_PFC_12,LH,Default,ipsi
345,7Networks_LH_Default_PFC_13,LH,Default,ipsi
346,7Networks_LH_Default_PFC_14,LH,Default,ipsi
347,7Networks_LH_Default_PFC_15,LH,Default,ipsi
348,7Networks_LH_Default_PFC_16,LH,Default,ipsi
349,7Networks_LH_Default_PFC_17,LH,Default,ipsi
350,7Networks_LH_Default_PFC_18,LH,Default,ipsi
351,7Networks_LH_Default_PFC_19,LH,Default,ipsi
352,7Networks_LH_Default_PFC_20,LH,Default,ipsi
353,7Networks_LH_Default_PFC_21,LH,Default,ipsi
354,7Networks_LH_Default_PFC_22,LH,Default,ipsi
355,7Networks_LH_Default_PFC_23,LH,Default,ipsi
356,7Networks_LH_Default_PFC_24,LH,Default,ipsi
357,7Networks_LH_Default_PFC_25,LH,Default,ipsi
358,7Networks_LH_Default_PFC_26,LH,Default,ipsi
359,7Networks_LH_Default_PFC_27,LH,Default,ipsi
360,7Networks_LH_Default_PFC_28,LH,Default,ipsi
361,7Networks_LH_Default_PFC_29,LH,Default,ipsi
362,7Networks_LH_Default_PFC_30,LH,Default,ipsi
