rank,roi_id,roi_name,hemi_name,hemi_mni,hemi_ref,ipsi_contra,node_energy,hemi_mismatch,mni_x,mni_y,mni_z
1,430,7Networks_RH_Vis_30,RH,RH,RH,contra,10.584156136858228,False,42.978102,23.948905,35.583942
2,421,7Networks_RH_Vis_21,RH,RH,RH,contra,2.753362384216194,False,38.18107,32.670782,33.91358
3,422,7Networks_RH_Vis_22,RH,RH,RH,contra,2.2539506580062154,False,40.737643,27.072243,34.011407
4,412,7Networks_RH_Vis_12,RH,RH,RH,contra,1.732924663991854,False,32.572519,33.931298,32.022901
5,809,THA-DAm-rh,,RH,RH,contra,1.1305361170357555,False,40.151163,50.877907,41.569767
6,406,7Networks_RH_Vis_6,RH,RH,RH,contra,1.0707746728751628,False,21.905941,34.212871,27.316832
7,446,7Networks_RH_Vis_46,RH,RH,RH,contra,1.05943759215356,False,34.565789,33.368421,41.447368
8,295,7Networks_LH_Cont_pCun_2,LH,RH,RH,contra,1.014232319069639,True,49.414894,24.446809,58.297872
9,60,7Networks_LH_Vis_60,LH,RH,RH,contra,0.9977525969816772,True,48.666667,24.825641,49.133333
10,740,7Networks_RH_Default_Temp_4,RH,RH,RH,contra,0.9836271079527454,False,15.141618,60.549133,27.624277
11,441,7Networks_RH_Vis_41,RH,RH,RH,contra,0.979727698404185,False,33.450495,34.09901,38.59901
12,491,7Networks_RH_SomMot_24,RH,RH,RH,contra,0.8559018593309199,False,14.941176,62.535294,41.470588
13,805,THA-VPm-rh,,RH,RH,contra,0.8217002526333869,False,40.238636,50.943182,36.897727
14,260,7Networks_LH_Cont_Par_2,LH,RH,RH,contra,0.6009155736945619,True,71.672026,37.990354,57.848875
15,657,7Networks_RH_Limbic_TempPole_5,RH,RH,RH,contra,0.5720949070267424,False,29.45974,58.088312,18.506494
16,325,7Networks_LH_Default_Par_6,LH,RH,RH,contra,0.5042008068029531,True,70.404959,36.0,48.603306
17,162,7Networks_LH_DorsAttn_Post_20,LH,RH,RH,contra,0.4972216177293406,True,51.76506,25.216867,62.289157
18,294,7Networks_LH_Cont_pCun_1,LH,RH,RH,contra,0.4822056789702595,True,49.027523,26.587156,54.486239
19,763,7Networks_RH_Default_PFCdPFCm_8,RH,RH,RH,contra,0.4202331305490435,False,41.385567,91.468041,41.134021
20,723,7Networks_RH_Cont_Cing_3,RH,RH,RH,contra,0.3741164495380195,False,42.269231,54.201923,50.865385
21,469,7Networks_RH_SomMot_2,RH,RH,RH,contra,0.3618899168230918,False,14.701613,61.524194,33.056452
22,130,7Networks_LH_SomMot_63,LH,RH,RH,contra,0.2969043649943442,True,54.557377,51.114754,70.0
23,798,7Networks_RH_Default_pCunPCC_19,RH,RH,RH,contra,0.2775442928705621,False,41.544872,33.442308,57.301282
24,496,7Networks_RH_SomMot_29,RH,RH,RH,contra,0.2573166876158431,False,12.123596,59.94382,48.516854
25,155,7Networks_LH_DorsAttn_Post_13,LH,RH,RH,contra,0.2069288451848305,True,72.541935,45.812903,59.503226
26,330,7Networks_LH_Default_Par_11,LH,RH,RH,contra,0.1986643409477315,True,64.107143,25.678571,57.833333
27,148,7Networks_LH_DorsAttn_Post_6,LH,RH,RH,contra,0.1976893450737359,True,68.974026,31.800866,41.822511
28,259,7Networks_LH_Cont_Par_1,LH,RH,RH,contra,0.1854339614963532,True,74.536145,42.271084,58.006024
29,686,7Networks_RH_Cont_PFCl_3,RH,RH,RH,contra,0.1814952112696769,False,24.570281,88.389558,29.738956
30,801,HIP-head-m-rh,,RH,RH,contra,0.179706703431964,False,34.684615,56.230769,26.184615
31,762,7Networks_RH_Default_PFCdPFCm_7,RH,RH,RH,contra,0.1751952013033666,False,35.44918,96.203279,41.606557
32,783,7Networks_RH_Default_pCunPCC_4,RH,RH,RH,contra,0.1524968912953406,False,37.088889,33.911111,46.488889
33,144,7Networks_LH_DorsAttn_Post_2,LH,RH,RH,contra,0.1339162219984486,True,68.148936,32.265957,32.308511
34,389,7Networks_LH_Default_pCunPCC_17,LH,RH,RH,contra,0.1308640039987241,True,46.184971,55.104046,54.0
35,790,7Networks_RH_Default_pCunPCC_11,RH,RH,RH,contra,0.1259198135316618,False,41.918367,34.591837,49.816327
36,320,7Networks_LH_Default_Par_1,LH,RH,RH,contra,0.1244771584221205,True,68.745763,32.822034,45.110169
37,495,7Networks_RH_SomMot_28,RH,RH,RH,contra,0.099749935427115,False,13.694737,62.284211,44.873684
38,50,7Networks_LH_Vis_50,LH,RH,RH,contra,0.0922736738076722,True,45.59596,23.080808,42.494949
39,150,7Networks_LH_DorsAttn_Post_8,LH,RH,RH,contra,0.0777811983421026,True,64.138889,21.920139,52.225694
40,174,7Networks_LH_DorsAttn_Post_32,LH,RH,RH,contra,0.0735216140970194,True,50.1,31.672727,65.745455
41,688,7Networks_RH_Cont_PFCl_5,RH,RH,RH,contra,0.0626274302570575,False,35.150641,95.326923,34.355769
42,172,7Networks_LH_DorsAttn_Post_30,LH,RH,RH,contra,0.0613558609326087,True,59.613861,32.683168,67.366337
43,664,7Networks_RH_Limbic_TempPole_12,RH,RH,RH,contra,0.0604959117929148,False,33.974522,56.235669,21.184713
44,687,7Networks_RH_Cont_PFCl_4,RH,RH,RH,contra,0.0579357372373282,False,29.695455,92.259091,34.172727
45,499,7Networks_RH_SomMot_32,RH,RH,RH,contra,0.0530260749344013,False,14.212766,59.170213,54.978723
46,397,7Networks_LH_Default_pCunPCC_25,LH,RH,RH,contra,0.0518353489939688,True,47.409091,33.727273,57.477273
47,175,7Networks_LH_DorsAttn_Post_33,LH,RH,RH,contra,0.0517679605008556,True,55.526882,32.473118,67.408602
48,117,7Networks_LH_SomMot_50,LH,RH,RH,contra,0.0305022831201679,True,46.990991,52.918919,66.414414
49,106,7Networks_LH_SomMot_39,LH,RH,RH,contra,0.0300828528204323,True,47.73822,54.91623,60.926702
50,399,7Networks_LH_Default_pCunPCC_27,LH,RH,RH,contra,0.0103167814021037,True,47.5,34.0625,60.671875
