rank,roi_id,roi_name,hemi,network,node_energy
1,421,7Networks_RH_Vis_21,RH,Vis,8.360438400891312
2,412,7Networks_RH_Vis_12,RH,Vis,3.699037087890152
3,430,7Networks_RH_Vis_30,RH,Vis,2.9619089027056287
4,422,7Networks_RH_Vis_22,RH,Vis,2.2189922247830545
7,406,7Networks_RH_Vis_6,RH,Vis,1.1626990246811124
10,723,7Networks_RH_Cont_Cing_3,RH,Cont,0.8500819756010677
16,657,7Networks_RH_Limbic_TempPole_5,RH,Limbic,0.4620493915024554
21,740,7Networks_RH_Default_Temp_4,RH,Default,0.3570927953179263
23,446,7Networks_RH_Vis_46,RH,Vis,0.3485471987430329
24,441,7Networks_RH_Vis_41,RH,Vis,0.3037533583315815
26,798,7Networks_RH_Default_pCunPCC_19,RH,Default,0.2576964370324656
27,688,7Networks_RH_Cont_PFCl_5,RH,Cont,0.2410643775777057
28,763,7Networks_RH_Default_PFCdPFCm_8,RH,Default,0.1589988995245989
29,762,7Networks_RH_Default_PFCdPFCm_7,RH,Default,0.1567857522963605
32,686,7Networks_RH_Cont_PFCl_3,RH,Cont,0.1354936895171969
34,790,7Networks_RH_Default_pCunPCC_11,RH,Default,0.1320416085855535
37,499,7Networks_RH_SomMot_32,RH,SomMot,0.1162623715995195
38,687,7Networks_RH_Cont_PFCl_4,RH,Cont,0.1134240713577318
43,664,7Networks_RH_Limbic_TempPole_12,RH,Limbic,0.0869454132567722
44,491,7Networks_RH_SomMot_24,RH,SomMot,0.0823531892540244
46,496,7Networks_RH_SomMot_29,RH,SomMot,0.0727079270891384
47,469,7Networks_RH_SomMot_2,RH,SomMot,0.0662991680320931
49,495,7Networks_RH_SomMot_28,RH,SomMot,0.0192597326286264
50,783,7Networks_RH_Default_pCunPCC_4,RH,Default,0.0111748268940837
