rank,roi_id,roi_name,hemi,network,node_energy
5,295,7Networks_LH_Cont_pCun_2,LH,Cont,1.4981515795378897
6,117,7Networks_LH_SomMot_50,LH,SomMot,1.3596589663467602
8,130,7Networks_LH_SomMot_63,LH,SomMot,0.9208591704399276
9,172,7Networks_LH_DorsAttn_Post_30,LH,DorsAttn,0.8760331557507
11,259,7Networks_LH_Cont_Par_1,LH,Cont,0.704817703350541
12,260,7Networks_LH_Cont_Par_2,LH,Cont,0.6532159591668746
13,294,7Networks_LH_Cont_pCun_1,LH,Cont,0.6441563550089188
14,325,7Networks_LH_Default_Par_6,LH,Default,0.6098345021080267
17,162,7Networks_LH_DorsAttn_Post_20,LH,DorsAttn,0.456319023418532
19,155,7Networks_LH_DorsAttn_Post_13,LH,DorsAttn,0.3938477397913636
20,389,7Networks_LH_Default_pCunPCC_17,LH,Default,0.380146391647546
22,60,7Networks_LH_Vis_60,LH,Vis,0.3515367889359453
25,106,7Networks_LH_SomMot_39,LH,SomMot,0.2915358117041434
30,148,7Networks_LH_DorsAttn_Post_6,LH,DorsAttn,0.1426903530485733
31,320,7Networks_LH_Default_Par_1,LH,Default,0.1386726442358915
33,144,7Networks_LH_DorsAttn_Post_2,LH,DorsAttn,0.1347636484850019
35,397,7Networks_LH_Default_pCunPCC_25,LH,Default,0.1180040404349877
36,50,7Networks_LH_Vis_50,LH,Vis,0.1164508174861682
39,399,7Networks_LH_Default_pCunPCC_27,LH,Default,0.107965206438876
40,175,7Networks_LH_DorsAttn_Post_33,LH,DorsAttn,0.0988630530509452
41,330,7Networks_LH_Default_Par_11,LH,Default,0.0971871556320372
42,174,7Networks_LH_DorsAttn_Post_32,LH,DorsAttn,0.088938173535468
48,150,7Networks_LH_DorsAttn_Post_8,LH,DorsAttn,0.0373898817643519
