rank,roi_id,roi_name,hemi,network,node_energy
1,421,7Networks_RH_Vis_21,RH,Vis,8.360438400891312
2,412,7Networks_RH_Vis_12,RH,Vis,3.699037087890152
3,430,7Networks_RH_Vis_30,RH,Vis,2.9619089027056287
4,422,7Networks_RH_Vis_22,RH,Vis,2.2189922247830545
5,295,7Networks_LH_Cont_pCun_2,LH,Cont,1.4981515795378897
6,117,7Networks_LH_SomMot_50,LH,SomMot,1.3596589663467602
7,406,7Networks_RH_Vis_6,RH,Vis,1.1626990246811124
8,130,7Networks_LH_SomMot_63,LH,SomMot,0.9208591704399276
9,172,7Networks_LH_DorsAttn_Post_30,LH,DorsAttn,0.8760331557507
10,723,7Networks_RH_Cont_Cing_3,RH,Cont,0.8500819756010677
11,259,7Networks_LH_Cont_Par_1,LH,Cont,0.704817703350541
12,260,7Networks_LH_Cont_Par_2,LH,Cont,0.6532159591668746
13,294,7Networks_LH_Cont_pCun_1,LH,Cont,0.6441563550089188
14,325,7Networks_LH_Default_Par_6,LH,Default,0.6098345021080267
15,809,THA-DAm-rh,,,0.5708792296438396
16,657,7Networks_RH_Limbic_TempPole_5,RH,Limbic,0.4620493915024554
17,162,7Networks_LH_DorsAttn_Post_20,LH,DorsAttn,0.456319023418532
18,805,THA-VPm-rh,,,0.4114249108233686
19,155,7Networks_LH_DorsAttn_Post_13,LH,DorsAttn,0.3938477397913636
20,389,7Networks_LH_Default_pCunPCC_17,LH,Default,0.380146391647546
21,740,7Networks_RH_Default_Temp_4,RH,Default,0.3570927953179263
22,60,7Networks_LH_Vis_60,LH,Vis,0.3515367889359453
23,446,7Networks_RH_Vis_46,RH,Vis,0.3485471987430329
24,441,7Networks_RH_Vis_41,RH,Vis,0.3037533583315815
25,106,7Networks_LH_SomMot_39,LH,SomMot,0.2915358117041434
26,798,7Networks_RH_Default_pCunPCC_19,RH,Default,0.2576964370324656
27,688,7Networks_RH_Cont_PFCl_5,RH,Cont,0.2410643775777057
28,763,7Networks_RH_Default_PFCdPFCm_8,RH,Default,0.1589988995245989
29,762,7Networks_RH_Default_PFCdPFCm_7,RH,Default,0.1567857522963605
30,148,7Networks_LH_DorsAttn_Post_6,LH,DorsAttn,0.1426903530485733
31,320,7Networks_LH_Default_Par_1,LH,Default,0.1386726442358915
32,686,7Networks_RH_Cont_PFCl_3,RH,Cont,0.1354936895171969
33,144,7Networks_LH_DorsAttn_Post_2,LH,DorsAttn,0.1347636484850019
34,790,7Networks_RH_Default_pCunPCC_11,RH,Default,0.1320416085855535
35,397,7Networks_LH_Default_pCunPCC_25,LH,Default,0.1180040404349877
36,50,7Networks_LH_Vis_50,LH,Vis,0.1164508174861682
37,499,7Networks_RH_SomMot_32,RH,SomMot,0.1162623715995195
38,687,7Networks_RH_Cont_PFCl_4,RH,Cont,0.1134240713577318
39,399,7Networks_LH_Default_pCunPCC_27,LH,Default,0.107965206438876
40,175,7Networks_LH_DorsAttn_Post_33,LH,DorsAttn,0.0988630530509452
41,330,7Networks_LH_Default_Par_11,LH,Default,0.0971871556320372
42,174,7Networks_LH_DorsAttn_Post_32,LH,DorsAttn,0.088938173535468
43,664,7Networks_RH_Limbic_TempPole_12,RH,Limbic,0.0869454132567722
44,491,7Networks_RH_SomMot_24,RH,SomMot,0.0823531892540244
45,801,HIP-head-m-rh,,,0.0740422040750179
46,496,7Networks_RH_SomMot_29,RH,SomMot,0.0727079270891384
47,469,7Networks_RH_SomMot_2,RH,SomMot,0.0662991680320931
48,150,7Networks_LH_DorsAttn_Post_8,LH,DorsAttn,0.0373898817643519
49,495,7Networks_RH_SomMot_28,RH,SomMot,0.0192597326286264
50,783,7Networks_RH_Default_pCunPCC_4,RH,Default,0.0111748268940837
