rank,roi_index,roi_id,node_energy
1,421,421,8.360438400891312
2,412,412,3.6990370878901517
3,430,430,2.9619089027056287
4,422,422,2.2189922247830545
5,295,295,1.4981515795378897
6,117,117,1.3596589663467602
7,406,406,1.1626990246811124
8,130,130,0.9208591704399276
9,172,172,0.8760331557507
10,723,723,0.8500819756010677
11,259,259,0.704817703350541
12,260,260,0.6532159591668746
13,294,294,0.6441563550089188
14,325,325,0.6098345021080267
15,809,809,0.5708792296438396
16,657,657,0.46204939150245544
17,162,162,0.45631902341853203
18,805,805,0.41142491082336863
19,155,155,0.3938477397913636
20,389,389,0.38014639164754604
21,740,740,0.35709279531792637
22,60,60,0.3515367889359453
23,446,446,0.34854719874303297
24,441,441,0.30375335833158157
25,106,106,0.29153581170414344
26,798,798,0.25769643703246564
27,688,688,0.24106437757770577
28,763,763,0.15899889952459892
29,762,762,0.15678575229636058
30,148,148,0.1426903530485733
31,320,320,0.13867264423589154
32,686,686,0.13549368951719695
33,144,144,0.13476364848500194
34,790,790,0.13204160858555358
35,397,397,0.11800404043498777
36,50,50,0.11645081748616826
37,499,499,0.11626237159951955
38,687,687,0.1134240713577318
39,399,399,0.107965206438876
40,175,175,0.0988630530509452
41,330,330,0.09718715563203724
42,174,174,0.08893817353546807
43,664,664,0.08694541325677227
44,491,491,0.08235318925402446
45,801,801,0.07404220407501791
46,496,496,0.07270792708913845
47,469,469,0.0662991680320931
48,150,150,0.03738988176435199
49,495,495,0.019259732628626444
50,783,783,0.011174826894083792
