rank,roi_index,roi_id,node_energy
1,421,421,5.823627245032203
2,430,430,3.9408595858389535
3,412,412,2.692783487888252
4,422,422,2.5111619851607223
5,295,295,1.6539395989136496
6,657,657,1.431323058864783
7,406,406,1.1538428792142614
8,809,809,1.0439683729524385
9,60,60,0.9969271531590833
10,723,723,0.929391479881179
11,805,805,0.9239734533710726
12,294,294,0.7796226164870486
13,117,117,0.6563679069786638
14,740,740,0.6478780697987786
15,130,130,0.6127431344831915
16,259,259,0.6003976064511578
17,441,441,0.5344740271862183
18,325,325,0.5299319429648437
19,162,162,0.5189053245723874
20,686,686,0.491329342035123
21,446,446,0.4833656559329686
22,260,260,0.47770601806159896
23,106,106,0.40707737987718445
24,172,172,0.37956730184465653
25,491,491,0.36401058825297117
26,389,389,0.35579984252415864
27,798,798,0.31635236396660626
28,801,801,0.24768926320465937
29,496,496,0.24287420658872455
30,155,155,0.2352464026515682
31,790,790,0.23199439398864208
32,469,469,0.21253270466542667
33,763,763,0.193661028031427
34,50,50,0.17978958646525428
35,320,320,0.14707083212506628
36,664,664,0.1339304740382361
37,688,688,0.1299304899328139
38,762,762,0.11433218622311674
39,144,144,0.10849282086793799
40,148,148,0.10682401991399118
41,399,399,0.10382778640433195
42,330,330,0.09933114876319826
43,174,174,0.07691787190090131
44,397,397,0.07151453193438335
45,499,499,0.07051432729570505
46,495,495,0.05866402089339226
47,175,175,0.055372651447055915
48,687,687,0.03880027179440159
49,150,150,0.021813350346317553
50,783,783,0.0029714636948213495
