rank,roi_index,roi_id,node_energy
1,421,421,8.470621516613779
2,430,430,2.9019350033403897
3,412,412,2.622914324451318
4,422,422,2.58734306002721
5,117,117,2.2048198865231288
6,295,295,1.3675392754769842
7,172,172,1.2367029207055742
8,723,723,1.0705194542008973
9,130,130,1.0129232708153464
10,389,389,0.8134228136110437
11,259,259,0.8089837460976228
12,260,260,0.7851788618339328
13,406,406,0.7082939751187398
14,657,657,0.58723887136785
15,325,325,0.5516026718959911
16,155,155,0.4980557462104071
17,294,294,0.44238735019547226
18,162,162,0.441521214457398
19,740,740,0.4101648829921618
20,446,446,0.3232895524296182
21,106,106,0.32245975932650933
22,809,809,0.2395135497120564
23,499,499,0.2265536827658985
24,688,688,0.22201088238963762
25,798,798,0.2195869224771094
26,441,441,0.21888131378503062
27,60,60,0.1855368640023849
28,330,330,0.15999819669006402
29,762,762,0.14836046439169448
30,686,686,0.13929326488190308
31,397,397,0.1385415493698997
32,763,763,0.10825237073877757
33,50,50,0.107078350708567
34,144,144,0.10581425457277897
35,175,175,0.10260280809492807
36,174,174,0.09946778017009494
37,687,687,0.09871580642943426
38,805,805,0.09160378494437534
39,491,491,0.07843947889219897
40,320,320,0.07255239039889032
41,399,399,0.06853115173984765
42,148,148,0.057495227834409725
43,664,664,0.055047696742126326
44,469,469,0.0526111699049
45,495,495,0.05169522576702388
46,790,790,0.04545021406633497
47,801,801,0.03178502708599729
48,150,150,0.030099758250858276
49,496,496,0.005962025608350987
50,783,783,0.0010474699003864346
