rank,roi_index,roi_id,node_energy
1,430,430,10.584156136858228
2,421,421,2.753362384216194
3,422,422,2.2539506580062154
4,412,412,1.732924663991854
5,809,809,1.1305361170357557
6,406,406,1.0707746728751628
7,446,446,1.0594375921535601
8,295,295,1.014232319069639
9,60,60,0.9977525969816773
10,740,740,0.9836271079527454
11,441,441,0.979727698404185
12,491,491,0.8559018593309199
13,805,805,0.8217002526333869
14,260,260,0.6009155736945619
15,657,657,0.5720949070267424
16,325,325,0.5042008068029531
17,162,162,0.4972216177293406
18,294,294,0.4822056789702595
19,763,763,0.4202331305490435
20,723,723,0.3741164495380195
21,469,469,0.3618899168230918
22,130,130,0.2969043649943442
23,798,798,0.27754429287056215
24,496,496,0.2573166876158431
25,155,155,0.2069288451848305
26,330,330,0.1986643409477315
27,148,148,0.19768934507373592
28,259,259,0.1854339614963532
29,686,686,0.18149521126967694
30,801,801,0.179706703431964
31,762,762,0.17519520130336663
32,783,783,0.1524968912953406
33,144,144,0.13391622199844866
34,389,389,0.1308640039987241
35,790,790,0.12591981353166184
36,320,320,0.12447715842212057
37,495,495,0.09974993542711508
38,50,50,0.09227367380767225
39,150,150,0.07778119834210269
40,174,174,0.07352161409701949
41,688,688,0.0626274302570575
42,172,172,0.061355860932608725
43,664,664,0.06049591179291487
44,687,687,0.057935737237328255
45,499,499,0.0530260749344013
46,397,397,0.05183534899396885
47,175,175,0.051767960500855685
48,117,117,0.030502283120167995
49,106,106,0.030082852820432333
50,399,399,0.010316781402103799
