rank,roi_index,roi_id,is_controller,node_energy
1,430,430,True,10.584156136858228
2,421,421,True,2.753362384216194
3,422,422,True,2.2539506580062154
4,412,412,True,1.732924663991854
5,809,809,True,1.1305361170357557
6,406,406,True,1.0707746728751628
7,446,446,True,1.0594375921535601
8,295,295,True,1.014232319069639
9,60,60,True,0.9977525969816773
10,740,740,True,0.9836271079527454
11,441,441,True,0.979727698404185
12,491,491,True,0.8559018593309199
13,805,805,True,0.8217002526333869
14,260,260,True,0.6009155736945619
15,657,657,True,0.5720949070267424
16,325,325,True,0.5042008068029531
17,162,162,True,0.4972216177293406
18,294,294,True,0.4822056789702595
19,763,763,True,0.4202331305490435
20,723,723,True,0.3741164495380195
21,469,469,True,0.3618899168230918
22,130,130,True,0.2969043649943442
23,798,798,True,0.27754429287056215
24,496,496,True,0.2573166876158431
25,155,155,True,0.2069288451848305
26,330,330,True,0.1986643409477315
27,148,148,True,0.19768934507373592
28,259,259,True,0.1854339614963532
29,686,686,True,0.18149521126967694
30,801,801,True,0.179706703431964
31,762,762,True,0.17519520130336663
32,783,783,True,0.1524968912953406
33,426,426,False,0.13393556894393524
34,144,144,True,0.13391622199844866
35,425,425,False,0.13183156016937453
36,389,389,True,0.1308640039987241
37,790,790,True,0.12591981353166184
38,320,320,True,0.12447715842212057
39,495,495,True,0.09974993542711508
40,50,50,True,0.09227367380767225
41,150,150,True,0.07778119834210269
42,174,174,True,0.07352161409701949
43,450,450,False,0.06818984358709262
44,688,688,True,0.0626274302570575
45,172,172,True,0.061355860932608725
46,664,664,True,0.06049591179291487
47,15,15,False,0.060302236859529575
48,687,687,True,0.057935737237328255
49,246,246,False,0.05653270054623812
50,417,417,False,0.053344521935962105
51,499,499,True,0.0530260749344013
52,397,397,True,0.05183534899396885
53,175,175,True,0.051767960500855685
54,248,248,False,0.041794969300506905
55,242,242,False,0.04038200057659426
56,37,37,False,0.03695588666849038
57,54,54,False,0.036420833927514114
58,12,12,False,0.03270601564507581
59,49,49,False,0.031438821462333025
60,16,16,False,0.030999859170637734
61,117,117,True,0.030502283120167995
62,106,106,True,0.030082852820432333
63,55,55,False,0.029926918633473347
64,806,806,False,0.028776323561813213
65,431,431,False,0.02768876113990568
66,428,428,False,0.025050178917960665
67,416,416,False,0.02423949636650278
68,30,30,False,0.024032650307588867
69,309,309,False,0.023487109650184697
70,305,305,False,0.0229978743579157
71,415,415,False,0.02180241258724773
72,17,17,False,0.02105999681315475
73,483,483,False,0.02083686369404125
74,438,438,False,0.02056092801508086
75,819,819,False,0.020048695288082525
76,461,461,False,0.019699005080886234
77,61,61,False,0.01895950027905581
78,435,435,False,0.018827436854443345
79,449,449,False,0.018549286609460418
80,807,807,False,0.01827296106994804
81,252,252,False,0.01751789999443861
82,9,9,False,0.017454153362738756
83,825,825,False,0.015641054009514533
84,48,48,False,0.014006838334188245
85,337,337,False,0.013677093033329195
86,243,243,False,0.013588265624454294
87,46,46,False,0.01338181676591105
88,408,408,False,0.012752324750076805
89,432,432,False,0.012730337710670708
90,846,846,False,0.01232821872543702
91,424,424,False,0.012190908842358402
92,145,145,False,0.011938604200153469
93,327,327,False,0.011151536608707774
94,820,820,False,0.010856897095449375
95,445,445,False,0.010538164885054182
96,399,399,True,0.010316781402103799
97,436,436,False,0.010052419655528062
98,154,154,False,0.009863682042288852
99,669,669,False,0.009862162975224742
100,437,437,False,0.009656352740024158
