band,top50_E_total,top50_E_ipsi,top50_E_contra,top50_n_ipsi,top50_n_contra,top50_n_mismatch_LR
13_30,33.688787847743995,0.0,33.688787847743995,0,50,23
150_250,33.65249229095489,0.0,33.65249229095489,0,50,23
250_500,33.33044684000733,0.0,33.33044684000733,0,50,23
80_150,34.167668512276286,0.0,34.167668512276286,0,50,23
80_250,34.14142325486553,0.0,34.14142325486553,0,50,23
