rank,roi_index,roi_id,is_controller,node_energy
1,421,421,True,8.360438400891312
2,412,412,True,3.6990370878901517
3,430,430,True,2.9619089027056287
4,422,422,True,2.2189922247830545
5,295,295,True,1.4981515795378897
6,117,117,True,1.3596589663467602
7,406,406,True,1.1626990246811124
8,130,130,True,0.9208591704399276
9,172,172,True,0.8760331557507
10,723,723,True,0.8500819756010677
11,259,259,True,0.704817703350541
12,260,260,True,0.6532159591668746
13,294,294,True,0.6441563550089188
14,325,325,True,0.6098345021080267
15,809,809,True,0.5708792296438396
16,657,657,True,0.46204939150245544
17,162,162,True,0.45631902341853203
18,805,805,True,0.41142491082336863
19,155,155,True,0.3938477397913636
20,389,389,True,0.38014639164754604
21,740,740,True,0.35709279531792637
22,60,60,True,0.3515367889359453
23,446,446,True,0.34854719874303297
24,441,441,True,0.30375335833158157
25,106,106,True,0.29153581170414344
26,450,450,False,0.28705818733540966
27,798,798,True,0.25769643703246564
28,688,688,True,0.24106437757770577
29,763,763,True,0.15899889952459892
30,762,762,True,0.15678575229636058
31,148,148,True,0.1426903530485733
32,320,320,True,0.13867264423589154
33,686,686,True,0.13549368951719695
34,144,144,True,0.13476364848500194
35,790,790,True,0.13204160858555358
36,397,397,True,0.11800404043498777
37,50,50,True,0.11645081748616826
38,499,499,True,0.11626237159951955
39,687,687,True,0.1134240713577318
40,399,399,True,0.107965206438876
41,175,175,True,0.0988630530509452
42,330,330,True,0.09718715563203724
43,174,174,True,0.08893817353546807
44,664,664,True,0.08694541325677227
45,491,491,True,0.08235318925402446
46,801,801,True,0.07404220407501791
47,496,496,True,0.07270792708913845
48,469,469,True,0.0662991680320931
49,417,417,False,0.04366291439649362
50,247,247,False,0.04284222020450479
51,435,435,False,0.04091266033621478
52,467,467,False,0.03864719084617489
53,150,150,True,0.03738988176435199
54,835,835,False,0.03187710351015985
55,457,457,False,0.031012501383272613
56,440,440,False,0.02960541940328122
57,833,833,False,0.028316847419814346
58,829,829,False,0.028257103687618725
59,432,432,False,0.02538635510468886
60,806,806,False,0.023984462235212476
61,418,418,False,0.023369144291247687
62,825,825,False,0.021893460285934245
63,426,426,False,0.020822523021910812
64,458,458,False,0.0201269613348054
65,495,495,True,0.019259732628626444
66,461,461,False,0.019129846563591815
67,30,30,False,0.018151240225504198
68,4,4,False,0.017508550430805122
69,305,305,False,0.016581785413790524
70,846,846,False,0.01652516932774925
71,413,413,False,0.01627456549573827
72,242,242,False,0.01571461136806484
73,248,248,False,0.015174803885527312
74,753,753,False,0.015071857400994445
75,466,466,False,0.014805816781322922
76,847,847,False,0.014548219691868692
77,819,819,False,0.014496718326557584
78,438,438,False,0.014171602154537971
79,246,246,False,0.01413950696970186
80,843,843,False,0.013637209948133952
81,807,807,False,0.013550628548171054
82,439,439,False,0.012883216596473006
83,309,309,False,0.012666104584622716
84,836,836,False,0.012044411828393872
85,186,186,False,0.011436450072684899
86,783,783,True,0.011174826894083792
87,820,820,False,0.011153926702408357
88,837,837,False,0.010613069314552052
89,640,640,False,0.010298329312558665
90,428,428,False,0.010286460954173425
91,243,243,False,0.010148317543645327
92,20,20,False,0.009384495396179372
93,48,48,False,0.009138417251764437
94,841,841,False,0.008882907712615674
95,423,423,False,0.008530838217165002
96,323,323,False,0.00849062821343037
97,15,15,False,0.008370245115571176
98,331,331,False,0.008185858102017666
99,49,49,False,0.00784204869155465
100,54,54,False,0.00713748602561842
