rank,roi_index,roi_id,node_energy
1,421,421,5.071315445149416
2,430,430,4.4902978337854735
3,412,412,2.5295145849270892
4,422,422,2.443994824988101
5,295,295,1.618066796692725
6,657,657,1.4681891907251376
7,60,60,1.2590794070504026
8,809,809,1.1880799634855583
9,406,406,1.131640492575134
10,805,805,1.0876229222075808
11,723,723,0.8998423674828933
12,294,294,0.7853258028724107
13,740,740,0.6975459694174456
14,130,130,0.5806158223030626
15,441,441,0.5683832262497945
16,686,686,0.5538949670354665
17,259,259,0.5386039123448726
18,162,162,0.5186808467534567
19,446,446,0.508313674604095
20,117,117,0.5022148088366603
21,325,325,0.4727145105404783
22,106,106,0.4265970626465483
23,491,491,0.4211817485371955
24,260,260,0.4107445013020392
25,389,389,0.32468644996935475
26,798,798,0.30150228242105587
27,172,172,0.2999037269009728
28,801,801,0.28872666504453837
29,496,496,0.28446582392842007
30,155,155,0.25555197017140857
31,790,790,0.2517400152712011
32,469,469,0.2433381336405045
33,763,763,0.199419087523604
34,50,50,0.198851513309597
35,664,664,0.1383539066869759
36,320,320,0.1377759077287445
37,144,144,0.12289354698707917
38,148,148,0.11816470198266424
39,399,399,0.10871671953488869
40,688,688,0.1069820453299074
41,762,762,0.1060578256732975
42,330,330,0.09446807186435055
43,174,174,0.0850205157047561
44,495,495,0.07980964022346497
45,397,397,0.0713608870859668
46,499,499,0.06582079396187632
47,175,175,0.05721928491911953
48,687,687,0.02917082820237713
49,150,150,0.022163824536920076
50,783,783,0.0030436611602023787
