node,node_energy
1,132278.7842339117
2,4454.340629782584
3,130064.8460116375
4,21905.444769872916
5,67844.2627284888
6,453170.48873049254
7,170455.0105401255
8,184331.79229713313
9,866749.199980265
10,354041.2174553721
11,82920.85837448733
12,219611.04581970433
13,912102.9289853838
14,269154.67537500727
15,31323.79697318624
16,3368781.483182509
17,598470.8940605578
18,422221.74411720654
19,81966.24529581553
20,911897.2686051943
21,14128.348861753248
22,75400.6142145783
23,138346.63132409652
24,1737119.545799738
25,34533.4248258021
26,21935.238165042087
27,344137.99787578685
28,8757.200265110587
29,3304146.9637578125
30,934778.353502655
31,100595.2826302687
32,80514.45007786372
33,139909.94390013936
34,6828.199943659591
35,39435.81364754492
36,191836.29336086975
37,936836.7557482936
38,821.2019629115903
39,2972981.4617336383
40,1803.852215581102
41,21911249.974276304
42,460995.3875373228
43,712728.9499417079
44,4477964.231926426
45,1206942.7357912082
46,548605.8368719227
47,5310583.380165056
48,1567574.5215146588
49,521210.7502511603
50,3112080.2951998394
51,385985.9514505967
52,158682.39204799954
53,667865.0408468714
54,614907.4165025989
55,4090161.23981606
56,8070437.502251129
57,3244547.698400948
58,288879.85499167006
59,2094274.174665073
60,24822953.093308143
61,2349596.3056355366
62,336425.2331876148
63,586937.2846893545
64,2134963.31556729
65,1185510.026939358
66,211848.09909266865
67,1928904.0364884348
68,5706.423776751575
69,51512.661011107884
70,45021.23177690576
71,8793.504729266753
72,10231.739881987905
73,81208.14415239907
74,793237.8584918893
75,30575.492307134577
76,44880.68898960788
77,79545.87687022105
78,632.344393454211
79,211126.98770627967
80,1074571.7438062774
81,49121.47388348722
82,383361.4043871349
83,302689.84510052466
84,58341.03973557603
85,149189.2560488207
86,2842.297559602102
87,54635.21796140349
88,57907.416945172576
89,161678.55463884422
90,14225.172920595389
91,213429.4648201671
92,74313.84351085704
93,79809.23189971456
94,294245.4214480246
95,460579.37554728345
96,78112.54578448253
97,481013.7128387499
98,10898.039526679995
99,4871.107329297851
100,50542.74473540373
101,2436.2733633085254
102,286680.6552625298
103,72465.87852381886
104,37880.025930097836
105,2725.318702505245
106,14781131.045111714
107,5292.018005306563
108,142870.50595505245
109,21925.526328250122
110,116358.16222112672
111,43312.0591752499
112,1061776.1890225452
113,2699.0756752816947
114,27542.043354293157
115,98710.66973851086
116,18058.05862970113
117,899087567.7637694
118,45451.068238032334
119,38273.72783265794
120,24.8916507679727
121,278845.5343732872
122,337186.4903797586
123,509011.4582935382
124,11879.78796757747
125,117353.58829318162
126,44210.49221618644
127,3428.0318133924957
128,709.8505827564129
129,93927.64360461471
130,547266880.8850935
131,941006.2445175132
132,213699.42555803715
133,17558.046911032798
134,32615.162011692715
135,284218.62204015
136,105081.95005398043
137,380542.45850287454
138,85014.04969240815
139,556567.5222720385
140,554651.496177976
141,890593.3688811761
142,177363.85407620904
143,13537.463899514581
144,102565.61154898975
145,1636403.2352607164
146,17193.578194088688
147,1032225.9340990626
148,97383.48527277101
149,240613.76277936104
150,1323658.209343408
151,17263117.31664832
152,3763721.44124111
153,32572732.85455527
154,18846905.976488724
155,6996398.656996613
156,846539.3079278305
157,959.4132375869024
158,145405.5196481829
159,27718732.8938749
160,17943.984783666736
161,84327.55882673325
162,1112426.1818006756
163,118724.90036051648
164,970269.9482227653
165,20718.544043591828
166,1049550.0544345323
167,950983.9501369257
168,6170.300978496812
