rank,roi_index,roi_id,is_controller,node_energy
1,421,421,True,5.071315445149416
2,430,430,True,4.4902978337854735
3,412,412,True,2.5295145849270892
4,422,422,True,2.443994824988101
5,295,295,True,1.618066796692725
6,657,657,True,1.4681891907251376
7,60,60,True,1.2590794070504026
8,809,809,True,1.1880799634855583
9,406,406,True,1.131640492575134
10,805,805,True,1.0876229222075808
11,723,723,True,0.8998423674828933
12,294,294,True,0.7853258028724107
13,740,740,True,0.6975459694174456
14,130,130,True,0.5806158223030626
15,441,441,True,0.5683832262497945
16,686,686,True,0.5538949670354665
17,259,259,True,0.5386039123448726
18,162,162,True,0.5186808467534567
19,446,446,True,0.508313674604095
20,117,117,True,0.5022148088366603
21,325,325,True,0.4727145105404783
22,106,106,True,0.4265970626465483
23,491,491,True,0.4211817485371955
24,260,260,True,0.4107445013020392
25,389,389,True,0.32468644996935475
26,798,798,True,0.30150228242105587
27,172,172,True,0.2999037269009728
28,801,801,True,0.28872666504453837
29,496,496,True,0.28446582392842007
30,155,155,True,0.25555197017140857
31,790,790,True,0.2517400152712011
32,469,469,True,0.2433381336405045
33,763,763,True,0.199419087523604
34,50,50,True,0.198851513309597
35,450,450,False,0.15053070768707422
36,664,664,True,0.1383539066869759
37,320,320,True,0.1377759077287445
38,144,144,True,0.12289354698707917
39,148,148,True,0.11816470198266424
40,399,399,True,0.10871671953488869
41,688,688,True,0.1069820453299074
42,762,762,True,0.1060578256732975
43,330,330,True,0.09446807186435055
44,174,174,True,0.0850205157047561
45,495,495,True,0.07980964022346497
46,397,397,True,0.0713608870859668
47,499,499,True,0.06582079396187632
48,175,175,True,0.05721928491911953
49,426,426,False,0.047864093421230366
50,417,417,False,0.03790088517772336
51,30,30,False,0.03289132167440524
52,247,247,False,0.03244640592220245
53,687,687,True,0.02917082820237713
54,825,825,False,0.02662173172668204
55,246,246,False,0.024964533388222646
56,435,435,False,0.02495682629094568
57,242,242,False,0.024852900964554534
58,248,248,False,0.023816644443503964
59,425,425,False,0.022825184213048015
60,15,15,False,0.022373093211554635
61,150,150,True,0.022163824536920076
62,835,835,False,0.02076457749132091
63,467,467,False,0.020747335120920654
64,461,461,False,0.02018794926603878
65,305,305,False,0.0194006024741148
66,829,829,False,0.019036149851620467
67,309,309,False,0.018862226013430922
68,432,432,False,0.01860617631154993
69,753,753,False,0.017875819787127482
70,806,806,False,0.01663096141647102
71,833,833,False,0.016499389586953593
72,483,483,False,0.01649547349242811
73,457,457,False,0.01640701060958253
74,4,4,False,0.01609505934635653
75,847,847,False,0.016006816321464678
76,48,48,False,0.015909268007593194
77,54,54,False,0.014672262630649333
78,16,16,False,0.013395676552705297
79,458,458,False,0.013269364549848903
80,418,418,False,0.01307918780748712
81,819,819,False,0.013071504120445072
82,438,438,False,0.012863257176622333
83,846,846,False,0.012671866155165407
84,49,49,False,0.012559518997795158
85,337,337,False,0.01251193739513793
86,428,428,False,0.012418036177370882
87,243,243,False,0.011861057701540036
88,820,820,False,0.011846756695622747
89,37,37,False,0.01136086063821446
90,669,669,False,0.010794066559760585
91,440,440,False,0.01068366737333313
92,12,12,False,0.010246447444595613
93,710,710,False,0.009599744922105519
94,843,843,False,0.009476067884251007
95,824,824,False,0.009345869727074789
96,836,836,False,0.009098900999983731
97,466,466,False,0.00907152179907824
98,818,818,False,0.00906548141089283
99,569,569,False,0.00900398802444255
100,841,841,False,0.008804972549607933
