band,total_E,ctrl_E,nonctrl_E,inv_err,rec_err
80_150,35.98154033573532,34.16766851227628,1.8138718234590363,1.491216053097321e-10,3.1230026773714574e-09
80_250,35.9593258690215,34.141423254865536,1.8179026141559733,1.4100611308341645e-10,3.053897214976359e-09
150_250,35.5421354988173,33.652492290954896,1.889643207862408,1.2996810760305403e-10,2.9089478429814036e-09
250_500,35.421223403437054,33.33044684000733,2.0907765634297184,1.2161565189300273e-10,3.9981440910867625e-09
13_30,35.93875054100126,33.68878784774398,2.249962693257276,1.4955752584612107e-10,2.5193618273387436e-09
