roi_id,roi_name,mni_x,mni_y,mni_z,hemi,network
84,7Networks_LH_SomMot_17,67.744681,51.691489,45.414894,LH,SomMot
85,7Networks_LH_SomMot_18,74.732057,54.38756,45.334928,LH,SomMot
86,7Networks_LH_SomMot_19,70.81457,49.596026,44.529801,LH,SomMot
87,7Networks_LH_SomMot_20,75.0,61.88172,45.365591,LH,SomMot
88,7Networks_LH_SomMot_21,77.22,58.41,46.31,LH,SomMot
89,7Networks_LH_SomMot_22,73.085106,59.106383,48.202128,LH,SomMot
90,7Networks_LH_SomMot_23,73.898876,63.241573,50.859551,LH,SomMot
91,7Networks_LH_SomMot_24,75.92381,58.133333,52.952381,LH,SomMot
92,7Networks_LH_SomMot_25,69.968254,58.634921,51.285714,LH,SomMot
93,7Networks_LH_SomMot_26,72.6,61.721739,56.452174,LH,SomMot
94,7Networks_LH_SomMot_27,72.5,53.390805,56.431034,LH,SomMot
95,7Networks_LH_SomMot_28,70.740541,55.918919,55.367568,LH,SomMot
96,7Networks_LH_SomMot_29,68.053846,57.169231,55.676923,LH,SomMot
97,7Networks_LH_SomMot_30,48.964912,58.973684,56.473684,LH,SomMot
98,7Networks_LH_SomMot_31,73.0,54.811321,61.396226,LH,SomMot
99,7Networks_LH_SomMot_32,70.730496,62.35461,60.560284,LH,SomMot
100,7Networks_LH_SomMot_33,68.513158,49.447368,58.763158,LH,SomMot
101,7Networks_LH_SomMot_34,65.0,53.596774,56.5,LH,SomMot
102,7Networks_LH_SomMot_35,49.207207,58.126126,59.540541,LH,SomMot
103,7Networks_LH_SomMot_36,70.615894,50.423841,63.271523,LH,SomMot
104,7Networks_LH_SomMot_37,66.730769,57.115385,61.223077,LH,SomMot
105,7Networks_LH_SomMot_38,62.424242,53.363636,59.212121,LH,SomMot
106,7Networks_LH_SomMot_39,47.73822,54.91623,60.926702,LH,SomMot
107,7Networks_LH_SomMot_40,67.067376,52.741135,63.219858,LH,SomMot
108,7Networks_LH_SomMot_41,47.655738,49.590164,61.934426,LH,SomMot
109,7Networks_LH_SomMot_42,66.91018,46.209581,67.269461,LH,SomMot
110,7Networks_LH_SomMot_43,64.591667,55.429167,66.220833,LH,SomMot
111,7Networks_LH_SomMot_44,48.796296,43.740741,63.333333,LH,SomMot
112,7Networks_LH_SomMot_45,60.872038,40.123223,66.791469,LH,SomMot
113,7Networks_LH_SomMot_46,47.210526,58.865497,66.251462,LH,SomMot
114,7Networks_LH_SomMot_47,62.22807,49.22807,62.929825,LH,SomMot
115,7Networks_LH_SomMot_48,61.378788,43.863636,66.712121,LH,SomMot
116,7Networks_LH_SomMot_49,59.651376,57.266055,69.06422,LH,SomMot
117,7Networks_LH_SomMot_50,46.990991,52.918919,66.414414,LH,SomMot
118,7Networks_LH_SomMot_51,61.607843,48.490196,68.496732,LH,SomMot
119,7Networks_LH_SomMot_52,60.068807,51.963303,68.958716,LH,SomMot
120,7Networks_LH_SomMot_53,57.688312,48.623377,63.896104,LH,SomMot
121,7Networks_LH_SomMot_54,46.382022,47.775281,66.831461,LH,SomMot
122,7Networks_LH_SomMot_55,58.162393,43.247863,68.965812,LH,SomMot
123,7Networks_LH_SomMot_56,48.819549,41.75188,68.022556,LH,SomMot
124,7Networks_LH_SomMot_57,49.849057,39.301887,69.716981,LH,SomMot
125,7Networks_LH_SomMot_58,59.267857,47.982143,72.160714,LH,SomMot
126,7Networks_LH_SomMot_59,56.403226,39.548387,67.693548,LH,SomMot
127,7Networks_LH_SomMot_60,55.6,57.226087,71.626087,LH,SomMot
128,7Networks_LH_SomMot_61,52.011236,59.460674,68.651685,LH,SomMot
129,7Networks_LH_SomMot_62,47.354839,56.225806,71.354839,LH,SomMot
130,7Networks_LH_SomMot_63,54.557377,51.114754,70.0,LH,SomMot
131,7Networks_LH_SomMot_64,54.666667,47.557471,69.591954,LH,SomMot
132,7Networks_LH_SomMot_65,55.747967,44.626016,72.203252,LH,SomMot
133,7Networks_LH_SomMot_66,54.348837,41.046512,70.430233,LH,SomMot
134,7Networks_LH_SomMot_67,51.216667,58.65,72.166667,LH,SomMot
135,7Networks_LH_SomMot_68,53.074074,55.691358,73.358025,LH,SomMot
136,7Networks_LH_SomMot_69,49.2,42.409524,73.32381,LH,SomMot
137,7Networks_LH_SomMot_70,47.375,51.525,72.675,LH,SomMot
138,7Networks_LH_SomMot_71,46.466667,45.777778,71.066667,LH,SomMot
139,7Networks_LH_SomMot_72,49.75,54.909091,73.954545,LH,SomMot
140,7Networks_LH_SomMot_73,52.957746,43.760563,74.591549,LH,SomMot
141,7Networks_LH_SomMot_74,50.956897,49.646552,72.560345,LH,SomMot
142,7Networks_LH_SomMot_75,50.232558,46.186047,72.453488,LH,SomMot
143,7Networks_LH_DorsAttn_Post_1,69.041457,37.600503,26.758794,LH,DorsAttn
144,7Networks_LH_DorsAttn_Post_2,68.148936,32.265957,32.308511,LH,DorsAttn
145,7Networks_LH_DorsAttn_Post_3,73.779762,33.598214,32.770833,LH,DorsAttn
146,7Networks_LH_DorsAttn_Post_4,69.670886,30.487342,36.677215,LH,DorsAttn
147,7Networks_LH_DorsAttn_Post_5,73.586735,32.071429,38.811224,LH,DorsAttn
148,7Networks_LH_DorsAttn_Post_6,68.974026,31.800866,41.822511,LH,DorsAttn
149,7Networks_LH_DorsAttn_Post_7,67.070866,25.913386,48.370079,LH,DorsAttn
150,7Networks_LH_DorsAttn_Post_8,64.138889,21.920139,52.225694,LH,DorsAttn
151,7Networks_LH_DorsAttn_Post_9,59.732394,26.478873,49.690141,LH,DorsAttn
152,7Networks_LH_DorsAttn_Post_10,59.506757,23.891892,55.391892,LH,DorsAttn
153,7Networks_LH_DorsAttn_Post_11,56.842697,27.921348,52.393258,LH,DorsAttn
154,7Networks_LH_DorsAttn_Post_12,58.677852,29.241611,55.489933,LH,DorsAttn
155,7Networks_LH_DorsAttn_Post_13,72.541935,45.812903,59.503226,LH,DorsAttn
156,7Networks_LH_DorsAttn_Post_14,72.424051,49.329114,57.196203,LH,DorsAttn
157,7Networks_LH_DorsAttn_Post_15,68.96875,47.364583,57.072917,LH,DorsAttn
158,7Networks_LH_DorsAttn_Post_16,56.19697,30.80303,59.484848,LH,DorsAttn
159,7Networks_LH_DorsAttn_Post_17,54.773438,26.984375,59.398438,LH,DorsAttn
160,7Networks_LH_DorsAttn_Post_18,65.258993,45.985612,57.280576,LH,DorsAttn
161,7Networks_LH_DorsAttn_Post_19,61.707547,41.669811,56.632075,LH,DorsAttn
162,7Networks_LH_DorsAttn_Post_20,51.76506,25.216867,62.289157,LH,DorsAttn
163,7Networks_LH_DorsAttn_Post_21,60.877551,38.204082,59.965986,LH,DorsAttn
164,7Networks_LH_DorsAttn_Post_22,59.175439,34.5,62.403509,LH,DorsAttn
165,7Networks_LH_DorsAttn_Post_23,65.5,45.435484,61.572581,LH,DorsAttn
166,7Networks_LH_DorsAttn_Post_24,59.36,31.3,64.5,LH,DorsAttn
