type,contact_index,contact_label,roi_id,roi_rank,distance
monopolar,74,U*6,327,3,4.2370368655033985
monopolar,75,U*7,327,1,2.025947008851105
monopolar,75,U*7,325,2,3.2252577784661227
monopolar,75,U*7,329,3,4.647110461675791
monopolar,76,U*8,327,1,3.3583818512198804
monopolar,76,U*8,194,2,4.782380930026699
monopolar,76,U*8,191,3,5.245596795237438
monopolar,77,U*9,259,1,3.0595366853025285
monopolar,77,U*9,194,2,5.51238633549901
monopolar,77,U*9,260,3,6.093932164795026
monopolar,78,U*10,259,1,3.118310356250924
monopolar,78,U*10,197,2,6.021797452397155
monopolar,78,U*10,194,3,6.963583105589614
monopolar,79,W*1,33,1,7.607875137717601
monopolar,79,W*1,27,2,8.947634513203871
monopolar,79,W*1,49,3,8.990064113603417
monopolar,80,W*2,49,1,8.928093062140393
monopolar,80,W*2,33,2,9.197988243054574
monopolar,80,W*2,150,3,9.653011730892295
monopolar,81,W*3,150,1,9.085557547718526
monopolar,81,W*3,49,2,9.847414204751857
monopolar,81,W*3,61,3,10.438069501691434
monopolar,82,W*4,150,1,8.598186490722117
monopolar,82,W*4,61,2,10.941900335202966
monopolar,82,W*4,49,3,11.30757655448836
monopolar,83,W*5,150,1,10.051610124185995
monopolar,83,W*5,330,2,11.77802405362193
monopolar,83,W*5,61,3,12.923882945362108
monopolar,84,W*6,330,1,11.24190809073279
monopolar,84,W*6,150,2,11.251631525085447
monopolar,84,W*6,331,3,13.542315539732247
monopolar,85,W*7,330,1,12.174165950195226
monopolar,85,W*7,150,2,13.413810805667302
monopolar,85,W*7,331,3,13.758859943456514
monopolar,86,W*8,330,1,13.711933360307327
monopolar,86,W*8,331,2,14.60135436427638
monopolar,86,W*8,150,3,15.850213807958466
