type,contact_index,contact_label,roi_id,roi_rank,distance
monopolar,1,A*1,657,1,6.163503039722588
monopolar,1,A*1,653,2,7.7026218993628195
monopolar,1,A*1,664,3,8.428473511704597
monopolar,2,A*2,657,1,4.656025605553942
monopolar,2,A*2,664,2,4.910636608634411
monopolar,2,A*2,658,3,7.725815430962677
monopolar,3,A*3,664,1,2.541184437152025
monopolar,3,A*3,657,2,4.1725163146902835
monopolar,3,A*3,802,3,6.3881368849932265
monopolar,4,A*4,664,1,1.6280692791436446
monopolar,4,A*4,666,2,3.8333258503904606
monopolar,4,A*4,801,3,4.01001442454685
monopolar,5,A*5,801,1,2.140173088118358
monopolar,5,A*5,666,2,2.786266849804608
monopolar,5,A*5,664,3,4.6123032306578935
monopolar,6,A*6,801,1,2.870017857388375
monopolar,6,A*6,666,2,4.695554967622434
monopolar,6,A*6,820,3,5.852283028746995
monopolar,7,A*7,805,1,5.81202738056052
monopolar,7,A*7,801,2,6.251303080962656
monopolar,7,A*7,806,3,6.898018354992395
monopolar,8,A*8,805,1,2.9165474587162077
monopolar,8,A*8,807,2,4.763589135072929
monopolar,8,A*8,806,3,5.503038023707153
monopolar,9,A*9,805,1,2.550390575085914
monopolar,9,A*9,809,2,4.186981129951117
monopolar,9,A*9,807,3,4.613543170136905
monopolar,10,A*10,809,1,3.3489159023731223
monopolar,10,A*10,805,2,4.589848903284368
monopolar,10,A*10,807,3,5.844343105593144
monopolar,11,A*11,809,1,4.66318262957268
monopolar,11,A*11,834,2,6.334236554852621
monopolar,11,A*11,808,3,6.841060001931616
monopolar,12,A*12,299,1,5.331073470683195
monopolar,12,A*12,834,2,6.040009728969152
monopolar,12,A*12,723,3,6.301318767602731
monopolar,13,A*13,299,1,2.8110573132740604
monopolar,13,A*13,723,2,4.856184964711476
monopolar,13,A*13,301,3,5.064059130933067
monopolar,14,A*14,299,1,2.4704709144148818
monopolar,14,A*14,388,2,3.8038925023169288
monopolar,14,A*14,389,3,3.905940453509888
monopolar,15,A*15,219,1,1.958119003407561
monopolar,15,A*15,393,2,2.8738561434555563
monopolar,15,A*15,217,3,3.2174323792226085
monopolar,16,A*16,221,1,1.6421825463813837
monopolar,16,A*16,219,2,2.8045055239586483
monopolar,16,A*16,217,3,3.5759430221328383
monopolar,17,A*17,221,1,3.615183227787718
monopolar,17,A*17,120,2,3.755164849082345
monopolar,17,A*17,108,3,4.750823804075153
monopolar,18,A*18,131,1,3.1132895149621946
monopolar,18,A*18,130,2,3.229543365694325
monopolar,18,A*18,120,3,3.9547668139323613
monopolar,19,B*1,417,1,10.579939378760718
monopolar,19,B*1,415,2,10.724569206839115
monopolar,19,B*1,421,3,10.87310573526924
monopolar,20,B*2,421,1,7.97696417160569
monopolar,20,B*2,415,2,8.442850274895266
monopolar,20,B*2,422,3,8.524935100454046
monopolar,21,B*3,422,1,5.429349378650315
monopolar,21,B*3,421,2,5.89993521544231
monopolar,21,B*3,415,3,6.893526452767523
monopolar,22,B*4,422,1,2.950659693091339
monopolar,22,B*4,421,2,5.079083973407953
monopolar,22,B*4,430,3,5.578699423433558
monopolar,23,B*5,430,1,2.7353292695397284
monopolar,23,B*5,422,2,2.775746922320966
monopolar,23,B*5,25,3,3.976791453163874
monopolar,24,B*6,430,1,2.8347382214099044
monopolar,24,B*6,25,2,3.7526060117178504
monopolar,24,B*6,50,3,4.297599400055772
monopolar,25,B*7,50,1,1.670616667552037
monopolar,25,B*7,44,2,4.046985050620594
monopolar,25,B*7,444,3,4.0482049956662385
monopolar,26,B*8,54,1,2.0840747520869325
monopolar,26,B*8,50,2,2.5903750225157363
monopolar,26,B*8,453,3,3.8247338868288607
monopolar,27,B*9,54,1,2.572516456876953
monopolar,27,B*9,60,2,3.2210592635826556
monopolar,27,B*9,453,3,4.185594785962617
monopolar,28,B*10,62,1,2.068883743330016
monopolar,28,B*10,65,2,3.503421989833446
monopolar,28,B*10,60,3,4.951743427725784
monopolar,29,B*11,65,1,2.650713247891053
monopolar,29,B*11,62,2,3.3853405528835654
monopolar,29,B*11,295,3,3.625710899838102
monopolar,30,B*12,67,1,3.2193559664389273
monopolar,30,B*12,295,2,4.747143461703842
monopolar,30,B*12,65,3,4.912303686354402
monopolar,31,B*13,67,1,4.255220248948667
monopolar,31,B*13,162,2,5.935034385983481
monopolar,31,B*13,295,3,6.938488965107861
monopolar,32,B*14,67,1,6.785916269258611
monopolar,32,B*14,162,2,7.376908402454403
monopolar,32,B*14,66,3,9.853407647068979
monopolar,33,B*15,162,1,9.802272796546955
monopolar,33,B*15,67,2,9.886803353050164
monopolar,33,B*15,169,3,11.852060550050115
monopolar,34,D*1,546,1,1.3951596200682705
monopolar,34,D*1,406,2,1.6923266339910341
monopolar,34,D*1,547,3,5.2566263862993
monopolar,35,D*2,406,1,3.5493105932106954
monopolar,35,D*2,546,2,4.459715392495037
monopolar,35,D*2,407,3,5.984761484076807
monopolar,36,D*3,408,1,4.887061131957386
monopolar,36,D*3,412,2,5.408045830788317
monopolar,36,D*3,407,3,5.862570712131634
monopolar,37,D*4,412,1,4.4896530912323716
monopolar,37,D*4,441,2,4.509368983781852
monopolar,37,D*4,408,3,5.241625077868676
monopolar,38,D*5,441,1,1.2955032356451872
monopolar,38,D*5,446,2,3.456001555760641
monopolar,38,D*5,451,3,5.685087640787138
monopolar,39,D*6,446,1,1.0904986424924497
monopolar,39,D*6,451,2,2.3436327659242715
monopolar,39,D*6,441,3,3.363879542095208
monopolar,40,D*7,783,1,0.6278831723460081
monopolar,40,D*7,451,2,2.7675127686104792
monopolar,40,D*7,458,3,3.495530564267581
monopolar,41,D*8,790,1,2.0111683056403553
monopolar,41,D*8,786,2,2.7701305807115584
monopolar,41,D*8,783,3,3.1056434328825913
monopolar,42,D*9,796,1,0.9686464660027073
monopolar,42,D*9,790,2,2.6821036329357564
monopolar,42,D*9,383,3,3.8211747153617566
monopolar,43,D*10,392,1,1.9420335918463436
monopolar,43,D*10,390,2,2.5828819789166304
monopolar,43,D*10,796,3,3.4436828782617828
monopolar,44,D*11,397,1,2.679715275066641
monopolar,44,D*11,392,2,2.9243373144228126
monopolar,44,D*11,390,3,3.3911647036765373
monopolar,45,D*12,158,1,3.525304423037053
monopolar,45,D*12,159,2,4.139699769835086
monopolar,45,D*12,397,3,4.613580282365751
monopolar,46,D*13,158,1,2.1326857461991944
monopolar,46,D*13,159,2,3.7933041297181327
monopolar,46,D*13,267,3,4.324004342758099
monopolar,47,D*14,166,1,2.8442596341808724
monopolar,47,D*14,267,2,3.450886044861422
monopolar,47,D*14,158,3,3.8750599920488
monopolar,48,D*15,166,1,1.853833004313091
monopolar,48,D*15,172,2,3.7777426769996816
monopolar,48,D*15,263,3,4.749740477358395
monopolar,49,E*1,740,1,2.178457476951107
monopolar,49,E*1,469,2,4.4641773075692335
monopolar,49,E*1,471,3,5.407847783790209
monopolar,50,E*2,469,1,1.9595555019282893
monopolar,50,E*2,740,2,4.333500877287402
monopolar,50,E*2,471,3,5.03794126771333
monopolar,51,E*3,469,1,3.1461414990035994
monopolar,51,E*3,474,2,4.243589558667163
monopolar,51,E*3,471,3,4.399416046785912
monopolar,52,E*4,491,1,3.1896013645736914
monopolar,52,E*4,622,2,4.426355453244538
monopolar,52,E*4,495,3,5.5042685007063845
monopolar,53,E*5,491,1,2.3176103846488405
monopolar,53,E*5,495,2,2.4592247038436197
monopolar,53,E*5,494,3,3.7460649186289765
monopolar,54,E*6,495,1,1.4906561968534449
monopolar,54,E*6,496,2,2.75752471249271
monopolar,54,E*6,491,3,4.808580610707132
monopolar,55,E*7,496,1,2.2961282487090884
monopolar,55,E*7,497,2,3.1797470302423703
monopolar,55,E*7,495,3,4.084479598678808
monopolar,56,E*8,497,1,4.012793646716072
monopolar,56,E*8,496,2,4.394905465619342
monopolar,56,E*8,499,3,5.102436811081425
monopolar,57,E*9,499,1,4.843898127229334
monopolar,57,E*9,497,2,6.122490535400139
monopolar,57,E*9,595,3,6.734425743422959
monopolar,58,E*10,499,1,6.841729502404047
monopolar,58,E*10,609,2,7.528798126948337
monopolar,58,E*10,595,3,8.761440560725411
monopolar,59,I*1,686,1,14.481755895596127
monopolar,59,I*1,689,2,16.27398135361281
monopolar,59,I*1,625,3,18.15608924454055
monopolar,60,I*2,686,1,11.607931055475873
monopolar,60,I*2,689,2,13.240219380847046
monopolar,60,I*2,687,3,15.380617798198225
monopolar,61,I*3,686,1,8.310538372406944
monopolar,61,I*3,689,2,9.94802777388001
monopolar,61,I*3,687,3,10.682503431021805
monopolar,62,I*4,687,1,6.959196879936423
monopolar,62,I*4,686,2,7.387795176936296
monopolar,62,I*4,685,3,8.352036614896098
monopolar,63,I*5,687,1,4.5130209774895125
monopolar,63,I*5,688,2,5.371233096041102
monopolar,63,I*5,685,3,6.423606094131412
monopolar,64,I*6,688,1,2.4109904112689406
monopolar,64,I*6,687,2,5.0945696206372615
monopolar,64,I*6,762,3,5.941053648885964
monopolar,65,I*7,760,1,3.286921902861004
monopolar,65,I*7,688,2,3.6860832349197037
monopolar,65,I*7,762,3,4.3132048128578315
monopolar,66,I*8,760,1,2.709013212296623
monopolar,66,I*8,763,2,5.306259476651862
monopolar,66,I*8,762,3,5.701871826822059
monopolar,67,I*9,763,1,5.6435751367259135
monopolar,67,I*9,760,2,5.862990086393081
monopolar,67,I*9,342,3,6.140715908202424
monopolar,68,I*10,348,1,5.244956089049542
monopolar,68,I*10,342,2,5.431580820314376
monopolar,68,I*10,343,3,6.219998195137679
monopolar,69,U*1,7,1,2.4335096874054747
monopolar,69,U*1,6,2,3.3428084458539655
monopolar,69,U*1,144,3,3.846244958538552
monopolar,70,U*2,144,1,1.5698356280864703
monopolar,70,U*2,16,2,3.705209060749754
monopolar,70,U*2,7,3,3.994472683581228
monopolar,71,U*3,146,1,2.598021427394914
monopolar,71,U*3,144,2,2.9169019649673613
monopolar,71,U*3,148,3,4.481056590678699
monopolar,72,U*4,148,1,2.6849564605450547
monopolar,72,U*4,320,2,4.247718323465875
monopolar,72,U*4,146,3,4.296776636204763
monopolar,73,U*5,198,1,2.442606441095379
monopolar,73,U*5,320,2,3.1982264841142793
monopolar,73,U*5,148,3,3.880678151082494
monopolar,74,U*6,325,1,1.9651514625313775
monopolar,74,U*6,198,2,3.1253342318412964
