roi_id,node_energy,group
1,0.00239175750541136,bystander
2,0.000835674080086622,bystander
3,0.0006111888271232024,bystander
4,0.01609505934635653,bystander
5,0.000916525097893783,bystander
6,1.398208634468488e-05,bystander
7,0.002602112989471394,bystander
8,0.0029621733468554387,bystander
9,0.005265077751280383,bystander
10,0.0021285972418882662,bystander
11,0.0022659901286209644,bystander
12,0.010246447444595613,bystander
13,0.0004793777446204874,bystander
14,0.001099365544387938,bystander
15,0.022373093211554635,bystander
16,0.013395676552705297,bystander
17,0.0022928487012526737,bystander
18,0.0003773419683632115,bystander
19,3.0692603746549937e-06,bystander
20,0.007997180488137025,bystander
21,0.0022669469981242835,bystander
22,0.0019952489290690975,bystander
23,4.6364003590478546e-05,bystander
24,0.0008645732725954866,bystander
25,0.0017016068922960845,bystander
26,5.054898570820026e-05,bystander
27,0.0028466278120146253,bystander
28,2.8049254726128633e-05,bystander
29,0.000420901703200881,bystander
30,0.03289132167440524,bystander
31,0.00017454539222060196,bystander
32,1.7729337887596665e-05,bystander
33,2.4436939734000118e-06,bystander
34,1.8864875345005696e-05,bystander
35,0.0038982911746689684,bystander
36,4.72034443618769e-05,bystander
37,0.01136086063821446,bystander
38,5.713804463663858e-05,bystander
39,0.00302743531005369,bystander
40,0.003447680997546823,bystander
41,0.00022752851705259148,bystander
42,0.00025858905850865765,bystander
43,0.00165728774044015,bystander
44,0.00031146039093871635,bystander
45,0.00014782158296600427,bystander
46,0.0035545874853382597,bystander
47,0.0011032476909606601,bystander
48,0.015909268007593194,bystander
49,0.012559518997795158,bystander
50,0.198851513309597,bystander
51,7.796327675715108e-09,bystander
52,0.0003942134342756364,bystander
53,0.0003369060387221132,bystander
54,0.014672262630649333,bystander
55,0.0058017009448652936,bystander
56,0.0007396799695328617,bystander
57,5.78364387789558e-06,bystander
58,0.0020484033836435677,bystander
59,0.0011564079668378163,bystander
60,1.2590794070504026,bystander
61,0.0060006231953249976,bystander
62,3.8082593790094154e-05,bystander
63,0.0002204785998740895,bystander
64,0.00043862145775072983,bystander
65,0.0007044783442231519,bystander
66,0.00010912150259883706,bystander
67,0.004327722129298374,bystander
68,3.0149378803379017e-05,bystander
69,8.207706836072934e-05,bystander
70,1.736713075041309e-05,bystander
71,0.00014085708788029997,bystander
72,3.972302774307357e-06,bystander
73,4.2361106322227115e-05,bystander
74,0.0015305215237059857,bystander
75,0.0005007425805841064,bystander
76,2.5393166711282357e-06,bystander
77,0.0003264863829392883,bystander
78,0.000129893201842811,bystander
79,0.0002991289802132466,bystander
80,2.0647567143420752e-05,bystander
81,0.0004842460699987235,bystander
82,0.00051260080273611,bystander
83,0.00011826991160235311,bystander
84,0.0007696880516661184,bystander
85,0.00046938222608571174,bystander
86,0.0019576519813690454,bystander
87,0.0007654631675647132,bystander
88,3.3604161747352544e-05,bystander
89,0.0006638447497605705,bystander
90,0.003107613562106134,bystander
91,0.00033402768354969426,bystander
92,0.0009736714257467256,bystander
93,0.002809955714905978,bystander
94,0.00022107519343274868,bystander
95,0.0008413829705195646,bystander
96,0.002605895830838657,bystander
97,0.00019376067562599966,bystander
98,3.4384913016545886e-06,bystander
99,0.0006296210943321118,bystander
100,0.0001070822788483767,bystander
101,8.455212127422953e-07,bystander
102,0.000322055397468039,bystander
103,6.026519350925813e-05,bystander
104,8.8316924511457e-06,bystander
105,2.4556392385375958e-05,bystander
106,0.4265970626465483,bystander
107,0.0007311281155939641,bystander
108,0.00022382280326127378,bystander
109,0.0001982426565728052,bystander
110,0.0017416610172588862,bystander
111,8.572243745258631e-05,bystander
112,3.974374840026544e-05,bystander
113,0.001308540765251541,bystander
114,7.411339188544127e-05,bystander
115,0.0003506066081906374,bystander
116,0.0007903973531702142,bystander
117,0.5022148088366603,target
118,0.000597255403118668,bystander
119,0.0004436031697311024,bystander
120,1.5740909388034725e-07,bystander
121,7.864150266224437e-05,bystander
122,5.5761984520291325e-05,bystander
123,2.0033886343817714e-05,bystander
124,1.600805021784349e-05,bystander
125,0.0001358781111143023,bystander
126,1.5471119738411052e-05,bystander
127,0.0008192249269992749,bystander
128,1.3623140801493452e-05,bystander
129,0.00042904466492706773,bystander
130,0.5806158223030626,target
131,0.0007527871962236881,bystander
132,1.6397972305912399e-06,bystander
133,0.00011599521340301926,bystander
134,1.671176643513514e-06,bystander
135,0.00011669053874651007,bystander
136,0.0006594396693633485,bystander
137,0.00026922716527427314,bystander
138,0.0005993140526256292,bystander
139,0.00020095723172640877,bystander
140,0.000461545736839377,bystander
141,0.00016379579194017538,bystander
142,0.0011081150744222212,bystander
143,0.0008698599734218392,bystander
144,0.12289354698707917,target
145,0.001280578204783642,bystander
146,0.002311942742421854,bystander
147,8.715534255960486e-06,bystander
148,0.11816470198266424,initial
149,0.0004906474057207169,bystander
150,0.022163824536920076,initial
151,0.0021478908162839024,bystander
152,0.0008511115202288949,bystander
153,0.002355728964071371,bystander
154,0.002363559331578333,bystander
155,0.25555197017140857,bystander
156,1.0536703134899072e-05,bystander
157,1.4602318867130935e-05,bystander
158,0.0015625013411290853,bystander
159,0.00013972468317540596,bystander
160,0.0005958822087030471,bystander
161,0.0023806728279899773,bystander
162,0.5186808467534567,bystander
163,0.003340510143948293,bystander
164,0.00043207826412577504,bystander
165,0.0001043867608850867,bystander
166,1.5408401332660073e-05,bystander
167,0.0009501239994209655,bystander
168,0.0007195758619456712,bystander
169,0.0004586519075228868,bystander
170,7.45756028374027e-05,bystander
171,0.000726792246385513,bystander
172,0.2999037269009728,target
173,7.528109134872802e-06,bystander
