x,y,z
21.983942635556183,56.44085410294211,12.626990178028004
23.91725829710729,56.118969318076815,16.160914269086884
25.65011215337778,55.71857048701488,19.525832830624946
28.52398301696333,55.09777124184,22.497319067907487
30.91582083243391,54.67341419858982,25.715365745646135
33.190377112150244,54.30217709925481,29.03607936416492
36.03506134592809,53.668637308531075,32.32449673498952
38.492045332241716,53.03806594216606,35.68086767829695
40.661967280644255,52.484685767012216,38.64455643999423
47.331760820341536,51.65801732650502,48.248422698506545
49.569014279651704,51.47685346986834,51.7063145911381
51.960852095122235,51.05249642661825,54.92436126887677
54.353506535747215,50.627911635142446,58.14202242599031
56.74534435121778,50.20355459189229,61.36006910372891
59.137182166688326,49.77919754864205,64.57811578146757
30.396024081735543,30.99014799812758,21.585037303897366
32.428614058975356,30.04086408825479,25.040674870989072
34.36190474575626,28.7515299735124,28.31586880196197
36.19927227252948,27.61475664106475,31.889464760455066
38.181873675419006,26.324787985097245,35.71496012475289
40.12307951037811,25.104268111716443,39.21150392799165
42.03080492558496,24.022011262284064,42.60044604243715
43.75127068366049,23.160720995306132,46.242895754916724
45.69261055141547,21.94108184878626,49.7392031779951
47.98818471365153,20.6052143741193,53.23332299537411
50.060894139216586,19.36196668285441,56.61912243401275
51.86834985060162,17.898353569584387,59.97146019026263
53.952081220849706,16.764999507769193,63.56092258865244
55.89328705580885,15.544479634388427,67.05746639189127
16.642898606576853,34.960367320721645,30.62063655965377
20.15298471830004,34.61037855226779,33.22963486959657
23.36764144208899,33.86908460789154,35.7477410686915
26.72231417527485,33.90036356313451,38.13303194276911
30.439639865340652,33.658575426487054,40.86735753776279
33.80691397803202,33.04802309139233,43.43801872791312
36.99347487332755,32.952807577040424,45.820919767592095
40.612974545191356,32.504458850534824,48.46330347090801
44.18154542333051,31.659743382750555,51.01597568661815
47.56697444317915,31.245430743586585,53.49791438906564
51.06285554403034,31.24214041583783,56.265736846885446
54.181540026117645,31.277512899842606,58.75169541761463
57.02617043970209,30.647047957472196,60.872748620461714
60.44156029895656,30.02188289009783,63.1287372441589
8.611466883585198,63.25469742297625,31.90562925645547
9.823912436402917,63.68382721661924,35.82002816677541
10.868702139484837,64.00668192948228,39.64231291148446
11.941551747566365,64.53246987961253,43.42440029452344
13.414787241954448,64.66774604524392,47.48434337615889
14.463287693923437,65.29734981716234,51.326763835359245
15.08031419805773,65.8066746021706,54.91124110267714
16.187970252385846,66.24848803207715,58.791916661015506
17.23301586144431,66.5714347065736,62.61468914917197
15.217182665423818,100.54237641763866,26.592583097278382
19.77215438951014,100.04023217443593,28.483208302351464
24.679455071063245,99.35873141001973,30.12816898209477
29.18937857841493,98.86899662356949,31.859793511344773
33.516487728600026,98.39455647649184,33.530368922262554
37.61550199758747,97.94406245057176,35.171611744563606
41.7207412707638,97.52682690493687,36.82889172604148
45.889368494377386,97.15875435286664,38.46090673343838
49.974397651030586,97.11809572711014,40.20164230910446
59.7968416643046,28.536835817716092,26.750409763031158
62.222916349372404,29.62623152413578,29.769935917893093
64.41475556054222,31.504908620688813,32.63247741751035
66.7794985809946,33.47355928101908,35.673126009237954
69.24055809070332,34.99840093717544,38.60626104968289
71.65380050099729,36.44830110116507,41.48462993520617
74.03960911952474,38.032031579497264,44.41481579184221
76.46454785605648,39.5843442298822,47.44419899015684
78.63873056158837,41.02863696478339,50.25596985983511
62.26555185527077,10.694448108699005,39.4356348408543
63.78182763312553,10.98589114296574,42.9410227072283
65.66764208087342,11.603111821848227,46.310018703312736
67.41274074557352,11.962357445976378,49.81682883350212
69.29773856816696,12.579805873084418,53.18621035021164
71.12264148168872,13.566850133450304,56.73417602929029
73.00845592943661,14.184070812332763,60.103172025374704
