type,contact_index,contact_label,roi_id,roi_rank,distance
bipolar,1,A*1-A*2,657,1,6.346659460795371
bipolar,1,A*1-A*2,664,2,7.673862121876958
bipolar,1,A*1-A*2,653,3,7.743462315090073
bipolar,2,A*2-A*3,664,1,4.384138308351551
bipolar,2,A*2-A*3,657,2,4.622503557853614
bipolar,2,A*2-A*3,658,3,7.386377960411457
bipolar,3,A*3-A*4,664,1,1.5321619652145841
bipolar,3,A*3-A*4,657,2,4.848454339671213
bipolar,3,A*3-A*4,666,3,5.740658797786756
bipolar,4,A*4-A*5,664,1,2.3595689486149087
bipolar,4,A*4-A*5,801,2,2.88597512192629
bipolar,4,A*4-A*5,666,3,3.3933738355973784
bipolar,5,A*5-A*6,801,1,1.394558405027635
bipolar,5,A*5-A*6,666,2,3.8237802884061014
bipolar,5,A*5-A*6,820,3,5.212289765960403
bipolar,6,A*6-A*7,801,1,4.202055488294571
bipolar,6,A*6-A*7,820,2,6.094184442030164
bipolar,6,A*6-A*7,666,3,6.345495551290847
bipolar,7,A*7-A*8,805,1,4.492443062429502
bipolar,7,A*7-A*8,807,2,5.0473987682721715
bipolar,7,A*7-A*8,806,3,5.396281733339961
bipolar,8,A*8-A*9,805,1,2.847264974298089
bipolar,8,A*8-A*9,807,2,3.362094888375889
bipolar,8,A*8-A*9,806,3,4.810256749417118
bipolar,9,A*9-A*10,809,1,3.3653890686768038
bipolar,9,A*9-A*10,805,2,4.228121359721272
bipolar,9,A*9-A*10,807,3,4.379992004864499
bipolar,10,A*12-A*13,723,1,2.7371799551794935
bipolar,10,A*12-A*13,301,2,4.397454287492452
bipolar,10,A*12-A*13,299,3,4.729648873460562
bipolar,11,A*13-A*14,389,1,1.9641195605575827
bipolar,11,A*13-A*14,723,2,3.4873381866954216
bipolar,11,A*13-A*14,301,3,3.603332105285277
bipolar,12,A*14-A*15,389,1,2.139756515978004
bipolar,12,A*14-A*15,393,2,2.573766347927758
bipolar,12,A*14-A*15,219,3,3.259047141021893
bipolar,13,A*15-A*16,106,1,1.6895965053595647
bipolar,13,A*15-A*16,108,2,3.4947311855132708
bipolar,13,A*15-A*16,219,3,3.8682414997993533
bipolar,14,A*16-A*17,117,1,2.911932869341451
bipolar,14,A*16-A*17,106,2,3.5715533830130965
bipolar,14,A*16-A*17,108,3,3.928569634105047
bipolar,15,A*17-A*18,130,1,2.9928674008690037
bipolar,15,A*17-A*18,117,2,4.270754852247833
bipolar,15,A*17-A*18,135,3,4.452183884751356
bipolar,16,B*1-B*2,421,1,9.503125906604247
