rank,roi_id,roi_name,hemi,network,node_energy
5,117,7Networks_LH_SomMot_50,LH,SomMot,2.2048198865231288
6,295,7Networks_LH_Cont_pCun_2,LH,Cont,1.3675392754769842
7,172,7Networks_LH_DorsAttn_Post_30,LH,DorsAttn,1.2367029207055742
9,130,7Networks_LH_SomMot_63,LH,SomMot,1.0129232708153464
10,389,7Networks_LH_Default_pCunPCC_17,LH,Default,0.8134228136110437
11,259,7Networks_LH_Cont_Par_1,LH,Cont,0.8089837460976228
12,260,7Networks_LH_Cont_Par_2,LH,Cont,0.7851788618339328
15,325,7Networks_LH_Default_Par_6,LH,Default,0.5516026718959911
16,155,7Networks_LH_DorsAttn_Post_13,LH,DorsAttn,0.4980557462104071
17,294,7Networks_LH_Cont_pCun_1,LH,Cont,0.4423873501954722
18,162,7Networks_LH_DorsAttn_Post_20,LH,DorsAttn,0.441521214457398
21,106,7Networks_LH_SomMot_39,LH,SomMot,0.3224597593265093
27,60,7Networks_LH_Vis_60,LH,Vis,0.1855368640023849
28,330,7Networks_LH_Default_Par_11,LH,Default,0.159998196690064
31,397,7Networks_LH_Default_pCunPCC_25,LH,Default,0.1385415493698997
33,50,7Networks_LH_Vis_50,LH,Vis,0.107078350708567
34,144,7Networks_LH_DorsAttn_Post_2,LH,DorsAttn,0.1058142545727789
35,175,7Networks_LH_DorsAttn_Post_33,LH,DorsAttn,0.102602808094928
36,174,7Networks_LH_DorsAttn_Post_32,LH,DorsAttn,0.0994677801700949
40,320,7Networks_LH_Default_Par_1,LH,Default,0.0725523903988903
41,399,7Networks_LH_Default_pCunPCC_27,LH,Default,0.0685311517398476
42,148,7Networks_LH_DorsAttn_Post_6,LH,DorsAttn,0.0574952278344097
48,150,7Networks_LH_DorsAttn_Post_8,LH,DorsAttn,0.0300997582508582
