rank,roi_id,roi_name,hemi,network,node_energy
8,295,7Networks_LH_Cont_pCun_2,LH,Cont,1.014232319069639
9,60,7Networks_LH_Vis_60,LH,Vis,0.9977525969816772
14,260,7Networks_LH_Cont_Par_2,LH,Cont,0.6009155736945619
16,325,7Networks_LH_Default_Par_6,LH,Default,0.5042008068029531
17,162,7Networks_LH_DorsAttn_Post_20,LH,DorsAttn,0.4972216177293406
18,294,7Networks_LH_Cont_pCun_1,LH,Cont,0.4822056789702595
22,130,7Networks_LH_SomMot_63,LH,SomMot,0.2969043649943442
25,155,7Networks_LH_DorsAttn_Post_13,LH,DorsAttn,0.2069288451848305
26,330,7Networks_LH_Default_Par_11,LH,Default,0.1986643409477315
27,148,7Networks_LH_DorsAttn_Post_6,LH,DorsAttn,0.1976893450737359
28,259,7Networks_LH_Cont_Par_1,LH,Cont,0.1854339614963532
33,144,7Networks_LH_DorsAttn_Post_2,LH,DorsAttn,0.1339162219984486
34,389,7Networks_LH_Default_pCunPCC_17,LH,Default,0.1308640039987241
36,320,7Networks_LH_Default_Par_1,LH,Default,0.1244771584221205
38,50,7Networks_LH_Vis_50,LH,Vis,0.0922736738076722
39,150,7Networks_LH_DorsAttn_Post_8,LH,DorsAttn,0.0777811983421026
40,174,7Networks_LH_DorsAttn_Post_32,LH,DorsAttn,0.0735216140970194
42,172,7Networks_LH_DorsAttn_Post_30,LH,DorsAttn,0.0613558609326087
46,397,7Networks_LH_Default_pCunPCC_25,LH,Default,0.0518353489939688
47,175,7Networks_LH_DorsAttn_Post_33,LH,DorsAttn,0.0517679605008556
48,117,7Networks_LH_SomMot_50,LH,SomMot,0.0305022831201679
49,106,7Networks_LH_SomMot_39,LH,SomMot,0.0300828528204323
50,399,7Networks_LH_Default_pCunPCC_27,LH,Default,0.0103167814021037
