rank,roi_id,roi_name,hemi,network,node_energy
1,430,7Networks_RH_Vis_30,RH,Vis,10.584156136858228
2,421,7Networks_RH_Vis_21,RH,Vis,2.753362384216194
3,422,7Networks_RH_Vis_22,RH,Vis,2.2539506580062154
4,412,7Networks_RH_Vis_12,RH,Vis,1.732924663991854
5,809,THA-DAm-rh,,,1.1305361170357555
6,406,7Networks_RH_Vis_6,RH,Vis,1.0707746728751628
7,446,7Networks_RH_Vis_46,RH,Vis,1.05943759215356
8,295,7Networks_LH_Cont_pCun_2,LH,Cont,1.014232319069639
9,60,7Networks_LH_Vis_60,LH,Vis,0.9977525969816772
10,740,7Networks_RH_Default_Temp_4,RH,Default,0.9836271079527454
11,441,7Networks_RH_Vis_41,RH,Vis,0.979727698404185
12,491,7Networks_RH_SomMot_24,RH,SomMot,0.8559018593309199
13,805,THA-VPm-rh,,,0.8217002526333869
14,260,7Networks_LH_Cont_Par_2,LH,Cont,0.6009155736945619
15,657,7Networks_RH_Limbic_TempPole_5,RH,Limbic,0.5720949070267424
16,325,7Networks_LH_Default_Par_6,LH,Default,0.5042008068029531
17,162,7Networks_LH_DorsAttn_Post_20,LH,DorsAttn,0.4972216177293406
18,294,7Networks_LH_Cont_pCun_1,LH,Cont,0.4822056789702595
19,763,7Networks_RH_Default_PFCdPFCm_8,RH,Default,0.4202331305490435
20,723,7Networks_RH_Cont_Cing_3,RH,Cont,0.3741164495380195
21,469,7Networks_RH_SomMot_2,RH,SomMot,0.3618899168230918
22,130,7Networks_LH_SomMot_63,LH,SomMot,0.2969043649943442
23,798,7Networks_RH_Default_pCunPCC_19,RH,Default,0.2775442928705621
24,496,7Networks_RH_SomMot_29,RH,SomMot,0.2573166876158431
25,155,7Networks_LH_DorsAttn_Post_13,LH,DorsAttn,0.2069288451848305
26,330,7Networks_LH_Default_Par_11,LH,Default,0.1986643409477315
27,148,7Networks_LH_DorsAttn_Post_6,LH,DorsAttn,0.1976893450737359
28,259,7Networks_LH_Cont_Par_1,LH,Cont,0.1854339614963532
29,686,7Networks_RH_Cont_PFCl_3,RH,Cont,0.1814952112696769
30,801,HIP-head-m-rh,,,0.179706703431964
31,762,7Networks_RH_Default_PFCdPFCm_7,RH,Default,0.1751952013033666
32,783,7Networks_RH_Default_pCunPCC_4,RH,Default,0.1524968912953406
33,144,7Networks_LH_DorsAttn_Post_2,LH,DorsAttn,0.1339162219984486
34,389,7Networks_LH_Default_pCunPCC_17,LH,Default,0.1308640039987241
35,790,7Networks_RH_Default_pCunPCC_11,RH,Default,0.1259198135316618
36,320,7Networks_LH_Default_Par_1,LH,Default,0.1244771584221205
37,495,7Networks_RH_SomMot_28,RH,SomMot,0.099749935427115
38,50,7Networks_LH_Vis_50,LH,Vis,0.0922736738076722
39,150,7Networks_LH_DorsAttn_Post_8,LH,DorsAttn,0.0777811983421026
40,174,7Networks_LH_DorsAttn_Post_32,LH,DorsAttn,0.0735216140970194
41,688,7Networks_RH_Cont_PFCl_5,RH,Cont,0.0626274302570575
42,172,7Networks_LH_DorsAttn_Post_30,LH,DorsAttn,0.0613558609326087
43,664,7Networks_RH_Limbic_TempPole_12,RH,Limbic,0.0604959117929148
44,687,7Networks_RH_Cont_PFCl_4,RH,Cont,0.0579357372373282
45,499,7Networks_RH_SomMot_32,RH,SomMot,0.0530260749344013
46,397,7Networks_LH_Default_pCunPCC_25,LH,Default,0.0518353489939688
47,175,7Networks_LH_DorsAttn_Post_33,LH,DorsAttn,0.0517679605008556
48,117,7Networks_LH_SomMot_50,LH,SomMot,0.0305022831201679
49,106,7Networks_LH_SomMot_39,LH,SomMot,0.0300828528204323
50,399,7Networks_LH_Default_pCunPCC_27,LH,Default,0.0103167814021037
