rank,roi_id,roi_name,hemi_name,hemi_mni,hemi_ref,ipsi_contra,node_energy,hemi_mismatch,mni_x,mni_y,mni_z
1,421,7Networks_RH_Vis_21,RH,RH,RH,contra,5.071315445149416,False,38.18107,32.670782,33.91358
2,430,7Networks_RH_Vis_30,RH,RH,RH,contra,4.4902978337854735,False,42.978102,23.948905,35.583942
3,412,7Networks_RH_Vis_12,RH,RH,RH,contra,2.529514584927089,False,32.572519,33.931298,32.022901
4,422,7Networks_RH_Vis_22,RH,RH,RH,contra,2.443994824988101,False,40.737643,27.072243,34.011407
5,295,7Networks_LH_Cont_pCun_2,LH,RH,RH,contra,1.618066796692725,True,49.414894,24.446809,58.297872
6,657,7Networks_RH_Limbic_TempPole_5,RH,RH,RH,contra,1.4681891907251376,False,29.45974,58.088312,18.506494
7,60,7Networks_LH_Vis_60,LH,RH,RH,contra,1.2590794070504026,True,48.666667,24.825641,49.133333
8,809,THA-DAm-rh,,RH,RH,contra,1.1880799634855583,False,40.151163,50.877907,41.569767
9,406,7Networks_RH_Vis_6,RH,RH,RH,contra,1.131640492575134,False,21.905941,34.212871,27.316832
10,805,THA-VPm-rh,,RH,RH,contra,1.0876229222075808,False,40.238636,50.943182,36.897727
11,723,7Networks_RH_Cont_Cing_3,RH,RH,RH,contra,0.8998423674828933,False,42.269231,54.201923,50.865385
12,294,7Networks_LH_Cont_pCun_1,LH,RH,RH,contra,0.7853258028724107,True,49.027523,26.587156,54.486239
13,740,7Networks_RH_Default_Temp_4,RH,RH,RH,contra,0.6975459694174456,False,15.141618,60.549133,27.624277
14,130,7Networks_LH_SomMot_63,LH,RH,RH,contra,0.5806158223030626,True,54.557377,51.114754,70.0
15,441,7Networks_RH_Vis_41,RH,RH,RH,contra,0.5683832262497945,False,33.450495,34.09901,38.59901
16,686,7Networks_RH_Cont_PFCl_3,RH,RH,RH,contra,0.5538949670354665,False,24.570281,88.389558,29.738956
17,259,7Networks_LH_Cont_Par_1,LH,RH,RH,contra,0.5386039123448726,True,74.536145,42.271084,58.006024
18,162,7Networks_LH_DorsAttn_Post_20,LH,RH,RH,contra,0.5186808467534567,True,51.76506,25.216867,62.289157
19,446,7Networks_RH_Vis_46,RH,RH,RH,contra,0.508313674604095,False,34.565789,33.368421,41.447368
