rank,roi_id,roi_name,hemi_name,hemi_mni,hemi_ref,ipsi_contra,node_energy,hemi_mismatch,mni_x,mni_y,mni_z
35,175,7Networks_LH_DorsAttn_Post_33,LH,RH,RH,contra,0.102602808094928,True,55.526882,32.473118,67.408602
36,174,7Networks_LH_DorsAttn_Post_32,LH,RH,RH,contra,0.0994677801700949,True,50.1,31.672727,65.745455
37,687,7Networks_RH_Cont_PFCl_4,RH,RH,RH,contra,0.0987158064294342,False,29.695455,92.259091,34.172727
38,805,THA-VPm-rh,,RH,RH,contra,0.0916037849443753,False,40.238636,50.943182,36.897727
39,491,7Networks_RH_SomMot_24,RH,RH,RH,contra,0.0784394788921989,False,14.941176,62.535294,41.470588
40,320,7Networks_LH_Default_Par_1,LH,RH,RH,contra,0.0725523903988903,True,68.745763,32.822034,45.110169
41,399,7Networks_LH_Default_pCunPCC_27,LH,RH,RH,contra,0.0685311517398476,True,47.5,34.0625,60.671875
42,148,7Networks_LH_DorsAttn_Post_6,LH,RH,RH,contra,0.0574952278344097,True,68.974026,31.800866,41.822511
43,664,7Networks_RH_Limbic_TempPole_12,RH,RH,RH,contra,0.0550476967421263,False,33.974522,56.235669,21.184713
44,469,7Networks_RH_SomMot_2,RH,RH,RH,contra,0.0526111699049,False,14.701613,61.524194,33.056452
45,495,7Networks_RH_SomMot_28,RH,RH,RH,contra,0.0516952257670238,False,13.694737,62.284211,44.873684
46,790,7Networks_RH_Default_pCunPCC_11,RH,RH,RH,contra,0.0454502140663349,False,41.918367,34.591837,49.816327
47,801,HIP-head-m-rh,,RH,RH,contra,0.0317850270859972,False,34.684615,56.230769,26.184615
48,150,7Networks_LH_DorsAttn_Post_8,LH,RH,RH,contra,0.0300997582508582,True,64.138889,21.920139,52.225694
49,496,7Networks_RH_SomMot_29,RH,RH,RH,contra,0.0059620256083509,False,12.123596,59.94382,48.516854
50,783,7Networks_RH_Default_pCunPCC_4,RH,RH,RH,contra,0.0010474699003864,False,37.088889,33.911111,46.488889
