rank,roi_id,roi_name,hemi_name,hemi_mni,hemi_ref,ipsi_contra,node_energy,hemi_mismatch,mni_x,mni_y,mni_z
1,421,7Networks_RH_Vis_21,RH,RH,RH,contra,8.470621516613779,False,38.18107,32.670782,33.91358
2,430,7Networks_RH_Vis_30,RH,RH,RH,contra,2.9019350033403897,False,42.978102,23.948905,35.583942
3,412,7Networks_RH_Vis_12,RH,RH,RH,contra,2.622914324451318,False,32.572519,33.931298,32.022901
4,422,7Networks_RH_Vis_22,RH,RH,RH,contra,2.58734306002721,False,40.737643,27.072243,34.011407
5,117,7Networks_LH_SomMot_50,LH,RH,RH,contra,2.2048198865231288,True,46.990991,52.918919,66.414414
6,295,7Networks_LH_Cont_pCun_2,LH,RH,RH,contra,1.3675392754769842,True,49.414894,24.446809,58.297872
7,172,7Networks_LH_DorsAttn_Post_30,LH,RH,RH,contra,1.2367029207055742,True,59.613861,32.683168,67.366337
8,723,7Networks_RH_Cont_Cing_3,RH,RH,RH,contra,1.0705194542008971,False,42.269231,54.201923,50.865385
9,130,7Networks_LH_SomMot_63,LH,RH,RH,contra,1.0129232708153464,True,54.557377,51.114754,70.0
10,389,7Networks_LH_Default_pCunPCC_17,LH,RH,RH,contra,0.8134228136110437,True,46.184971,55.104046,54.0
11,259,7Networks_LH_Cont_Par_1,LH,RH,RH,contra,0.8089837460976228,True,74.536145,42.271084,58.006024
12,260,7Networks_LH_Cont_Par_2,LH,RH,RH,contra,0.7851788618339328,True,71.672026,37.990354,57.848875
13,406,7Networks_RH_Vis_6,RH,RH,RH,contra,0.7082939751187398,False,21.905941,34.212871,27.316832
14,657,7Networks_RH_Limbic_TempPole_5,RH,RH,RH,contra,0.58723887136785,False,29.45974,58.088312,18.506494
15,325,7Networks_LH_Default_Par_6,LH,RH,RH,contra,0.5516026718959911,True,70.404959,36.0,48.603306
16,155,7Networks_LH_DorsAttn_Post_13,LH,RH,RH,contra,0.4980557462104071,True,72.541935,45.812903,59.503226
17,294,7Networks_LH_Cont_pCun_1,LH,RH,RH,contra,0.4423873501954722,True,49.027523,26.587156,54.486239
18,162,7Networks_LH_DorsAttn_Post_20,LH,RH,RH,contra,0.441521214457398,True,51.76506,25.216867,62.289157
19,740,7Networks_RH_Default_Temp_4,RH,RH,RH,contra,0.4101648829921618,False,15.141618,60.549133,27.624277
20,446,7Networks_RH_Vis_46,RH,RH,RH,contra,0.3232895524296182,False,34.565789,33.368421,41.447368
21,106,7Networks_LH_SomMot_39,LH,RH,RH,contra,0.3224597593265093,True,47.73822,54.91623,60.926702
22,809,THA-DAm-rh,,RH,RH,contra,0.2395135497120564,False,40.151163,50.877907,41.569767
23,499,7Networks_RH_SomMot_32,RH,RH,RH,contra,0.2265536827658985,False,14.212766,59.170213,54.978723
24,688,7Networks_RH_Cont_PFCl_5,RH,RH,RH,contra,0.2220108823896376,False,35.150641,95.326923,34.355769
25,798,7Networks_RH_Default_pCunPCC_19,RH,RH,RH,contra,0.2195869224771094,False,41.544872,33.442308,57.301282
26,441,7Networks_RH_Vis_41,RH,RH,RH,contra,0.2188813137850306,False,33.450495,34.09901,38.59901
27,60,7Networks_LH_Vis_60,LH,RH,RH,contra,0.1855368640023849,True,48.666667,24.825641,49.133333
28,330,7Networks_LH_Default_Par_11,LH,RH,RH,contra,0.159998196690064,True,64.107143,25.678571,57.833333
29,762,7Networks_RH_Default_PFCdPFCm_7,RH,RH,RH,contra,0.1483604643916944,False,35.44918,96.203279,41.606557
30,686,7Networks_RH_Cont_PFCl_3,RH,RH,RH,contra,0.139293264881903,False,24.570281,88.389558,29.738956
31,397,7Networks_LH_Default_pCunPCC_25,LH,RH,RH,contra,0.1385415493698997,True,47.409091,33.727273,57.477273
32,763,7Networks_RH_Default_PFCdPFCm_8,RH,RH,RH,contra,0.1082523707387775,False,41.385567,91.468041,41.134021
33,50,7Networks_LH_Vis_50,LH,RH,RH,contra,0.107078350708567,True,45.59596,23.080808,42.494949
34,144,7Networks_LH_DorsAttn_Post_2,LH,RH,RH,contra,0.1058142545727789,True,68.148936,32.265957,32.308511
