rank,roi_id,roi_name,hemi,network,node_energy
1,421,7Networks_RH_Vis_21,RH,Vis,5.071315445149416
2,430,7Networks_RH_Vis_30,RH,Vis,4.4902978337854735
3,412,7Networks_RH_Vis_12,RH,Vis,2.529514584927089
4,422,7Networks_RH_Vis_22,RH,Vis,2.443994824988101
6,657,7Networks_RH_Limbic_TempPole_5,RH,Limbic,1.4681891907251376
9,406,7Networks_RH_Vis_6,RH,Vis,1.131640492575134
11,723,7Networks_RH_Cont_Cing_3,RH,Cont,0.8998423674828933
13,740,7Networks_RH_Default_Temp_4,RH,Default,0.6975459694174456
15,441,7Networks_RH_Vis_41,RH,Vis,0.5683832262497945
16,686,7Networks_RH_Cont_PFCl_3,RH,Cont,0.5538949670354665
19,446,7Networks_RH_Vis_46,RH,Vis,0.508313674604095
23,491,7Networks_RH_SomMot_24,RH,SomMot,0.4211817485371955
26,798,7Networks_RH_Default_pCunPCC_19,RH,Default,0.3015022824210558
29,496,7Networks_RH_SomMot_29,RH,SomMot,0.28446582392842
31,790,7Networks_RH_Default_pCunPCC_11,RH,Default,0.2517400152712011
32,469,7Networks_RH_SomMot_2,RH,SomMot,0.2433381336405045
33,763,7Networks_RH_Default_PFCdPFCm_8,RH,Default,0.199419087523604
35,664,7Networks_RH_Limbic_TempPole_12,RH,Limbic,0.1383539066869759
40,688,7Networks_RH_Cont_PFCl_5,RH,Cont,0.1069820453299074
41,762,7Networks_RH_Default_PFCdPFCm_7,RH,Default,0.1060578256732975
44,495,7Networks_RH_SomMot_28,RH,SomMot,0.0798096402234649
46,499,7Networks_RH_SomMot_32,RH,SomMot,0.0658207939618763
48,687,7Networks_RH_Cont_PFCl_4,RH,Cont,0.0291708282023771
50,783,7Networks_RH_Default_pCunPCC_4,RH,Default,0.0030436611602023
