rank,roi_id,roi_name,hemi,network,node_energy
1,421,7Networks_RH_Vis_21,RH,Vis,5.071315445149416
2,430,7Networks_RH_Vis_30,RH,Vis,4.4902978337854735
3,412,7Networks_RH_Vis_12,RH,Vis,2.529514584927089
4,422,7Networks_RH_Vis_22,RH,Vis,2.443994824988101
5,295,7Networks_LH_Cont_pCun_2,LH,Cont,1.618066796692725
6,657,7Networks_RH_Limbic_TempPole_5,RH,Limbic,1.4681891907251376
7,60,7Networks_LH_Vis_60,LH,Vis,1.2590794070504026
8,809,THA-DAm-rh,,,1.1880799634855583
9,406,7Networks_RH_Vis_6,RH,Vis,1.131640492575134
10,805,THA-VPm-rh,,,1.0876229222075808
11,723,7Networks_RH_Cont_Cing_3,RH,Cont,0.8998423674828933
12,294,7Networks_LH_Cont_pCun_1,LH,Cont,0.7853258028724107
13,740,7Networks_RH_Default_Temp_4,RH,Default,0.6975459694174456
14,130,7Networks_LH_SomMot_63,LH,SomMot,0.5806158223030626
15,441,7Networks_RH_Vis_41,RH,Vis,0.5683832262497945
16,686,7Networks_RH_Cont_PFCl_3,RH,Cont,0.5538949670354665
17,259,7Networks_LH_Cont_Par_1,LH,Cont,0.5386039123448726
18,162,7Networks_LH_DorsAttn_Post_20,LH,DorsAttn,0.5186808467534567
19,446,7Networks_RH_Vis_46,RH,Vis,0.508313674604095
20,117,7Networks_LH_SomMot_50,LH,SomMot,0.5022148088366603
21,325,7Networks_LH_Default_Par_6,LH,Default,0.4727145105404783
22,106,7Networks_LH_SomMot_39,LH,SomMot,0.4265970626465483
23,491,7Networks_RH_SomMot_24,RH,SomMot,0.4211817485371955
24,260,7Networks_LH_Cont_Par_2,LH,Cont,0.4107445013020392
25,389,7Networks_LH_Default_pCunPCC_17,LH,Default,0.3246864499693547
26,798,7Networks_RH_Default_pCunPCC_19,RH,Default,0.3015022824210558
27,172,7Networks_LH_DorsAttn_Post_30,LH,DorsAttn,0.2999037269009728
28,801,HIP-head-m-rh,,,0.2887266650445383
29,496,7Networks_RH_SomMot_29,RH,SomMot,0.28446582392842
30,155,7Networks_LH_DorsAttn_Post_13,LH,DorsAttn,0.2555519701714085
31,790,7Networks_RH_Default_pCunPCC_11,RH,Default,0.2517400152712011
32,469,7Networks_RH_SomMot_2,RH,SomMot,0.2433381336405045
33,763,7Networks_RH_Default_PFCdPFCm_8,RH,Default,0.199419087523604
34,50,7Networks_LH_Vis_50,LH,Vis,0.198851513309597
35,664,7Networks_RH_Limbic_TempPole_12,RH,Limbic,0.1383539066869759
36,320,7Networks_LH_Default_Par_1,LH,Default,0.1377759077287445
37,144,7Networks_LH_DorsAttn_Post_2,LH,DorsAttn,0.1228935469870791
38,148,7Networks_LH_DorsAttn_Post_6,LH,DorsAttn,0.1181647019826642
39,399,7Networks_LH_Default_pCunPCC_27,LH,Default,0.1087167195348886
40,688,7Networks_RH_Cont_PFCl_5,RH,Cont,0.1069820453299074
41,762,7Networks_RH_Default_PFCdPFCm_7,RH,Default,0.1060578256732975
42,330,7Networks_LH_Default_Par_11,LH,Default,0.0944680718643505
43,174,7Networks_LH_DorsAttn_Post_32,LH,DorsAttn,0.0850205157047561
44,495,7Networks_RH_SomMot_28,RH,SomMot,0.0798096402234649
45,397,7Networks_LH_Default_pCunPCC_25,LH,Default,0.0713608870859668
46,499,7Networks_RH_SomMot_32,RH,SomMot,0.0658207939618763
47,175,7Networks_LH_DorsAttn_Post_33,LH,DorsAttn,0.0572192849191195
48,687,7Networks_RH_Cont_PFCl_4,RH,Cont,0.0291708282023771
49,150,7Networks_LH_DorsAttn_Post_8,LH,DorsAttn,0.02216382453692
50,783,7Networks_RH_Default_pCunPCC_4,RH,Default,0.0030436611602023
